Waiting for GPS Fix
GPS Fix obtained at;13:53:46.000:000:000:;Date:25/1/2022;
Lifetime;13:53:47.059:382:012:;1591854;
Lifetime;13:53:47.302:251:552:;0530244;
Lifetime;13:53:47.577:787:456:;0496489;
Lifetime;13:53:47.640:381:824:;0395783;
Lifetime;13:53:47.664:545:280:;0488455;
Lifetime;13:53:48.123:303:576:;1200858;
Lifetime;13:53:48.187:815:840:;2623452;
Lifetime;13:53:48.755:199:808:;1093603;
Lifetime;13:53:48.810:449:856:;0655800;
Lifetime;13:53:48.842:485:952:;1374447;
Lifetime;13:53:49.784:077:952:;2864909;
Lifetime;13:53:50.419:778:208:;2526516;
Lifetime;13:53:50.565:589:056:;2770645;
Lifetime;13:53:50.675:999:936:;2687656;
Lifetime;13:53:51.046:367:880:;1301064;
Lifetime;13:53:51.368:458:880:;1584584;
Lifetime;13:53:51.898:036:416:;1949323;
Lifetime;13:53:52.077:710:840:;1676202;
Lifetime;13:53:52.257:375:296:;1063492;
Lifetime;13:53:52.701:466:432:;0062342;
Lifetime;13:53:53.508:730:784:;0351690;
Lifetime;13:53:54.360:728:512:;1032622;
Lifetime;13:53:54.731:745:728:;2168383;
Lifetime;13:53:55.179:812:112:;2598486;
Lifetime;13:53:55.405:718:304:;1071294;
Lifetime;13:53:55.821:513:856:;1759063;
Lifetime;13:53:55.894:432:576:;2210673;
Lifetime;13:53:56.152:692:768:;1613300;
Lifetime;13:53:56.327:425:120:;2855570;
Lifetime;13:53:56.606:084:992:;1159306;
Lifetime;13:53:56.874:060:800:;0637733;
Lifetime;13:53:57.316:918:592:;1084876;
Lifetime;13:53:57.642:202:112:;0661589;
Lifetime;13:53:58.045:171:660:;2960185;
Lifetime;13:53:58.289:850:816:;2551602;
Lifetime;13:53:58.823:551:104:;0635455;
Lifetime;13:53:59.131:396:768:;0905498;
Lifetime;13:53:59.590:797:824:;0750885;
Lifetime;13:53:59.723:394:368:;0187441;
Lifetime;13:53:59.919:517:504:;2344789;
Lifetime;13:54:00.261:623:776:;1585641;
Lifetime;13:54:01.487:385:696:;0973773;
Lifetime;13:54:01.821:344:704:;1728114;
Lifetime;13:54:02.212:828:880:;2029059;
Lifetime;13:54:02.381:024:864:;2427535;
Lifetime;13:54:02.560:610:688:;2357344;
