Waiting for GPS Fix
GPS Fix obtained at;16:36:27.000:000:000:;Date:25/1/2022;
Lifetime;16:36:28.965:081:792:;0030134;
Lifetime;16:36:31.903:204:736:;0036917;
Lifetime;16:36:35.014:153:668:;0031759;
Lifetime;16:36:40.007:514:987:;0020357;
Lifetime;16:36:40.747:217:792:;0040838;
Lifetime;16:36:59.009:496:941:;0048503;
Lifetime;16:37:00.367:312:032:;0043272;
Lifetime;16:37:01.774:039:872:;0019799;
Lifetime;16:37:06.919:807:936:;0024220;
Lifetime;16:37:07.426:921:216:;0000186;
Lifetime;16:37:10.733:412:352:;0023660;
Lifetime;16:37:21.558:157:696:;0034869;
Lifetime;16:37:23.918:840:512:;0002802;
Lifetime;16:37:24.213:831:264:;0018867;
Lifetime;16:37:25.527:725:824:;0021108;
Lifetime;16:37:33.545:816:640:;0036733;
Lifetime;16:37:33.579:206:272:;0016312;
Lifetime;16:37:42.895:747:200:;0036613;
Lifetime;16:37:42.947:626:816:;0008904;
Lifetime;16:37:43.314:413:536:;0005790;
Lifetime;16:37:45.157:899:424:;0046882;
Lifetime;16:37:54.067:728:976:;0026399;
Lifetime;16:37:55.206:642:656:;0038544;
Lifetime;16:37:57.460:412:544:;0011707;
Lifetime;16:38:01.168:123:232:;0036178;
Lifetime;16:38:14.297:306:816:;0017561;
Lifetime;16:38:16.927:914:944:;0044151;
Lifetime;16:38:29.498:018:048:;0025346;
Lifetime;16:38:36.391:595:104:;0005043;
Lifetime;16:38:40.646:401:536:;0018809;
Lifetime;16:38:42.578:869:504:;0037552;
Lifetime;16:38:42.763:843:840:;0015755;
Lifetime;16:38:43.093:185:008:;0047646;
Lifetime;16:38:45.429:940:192:;0022606;
Lifetime;16:38:46.869:616:832:;0002677;
Lifetime;16:38:46.945:841:792:;0018246;
Lifetime;16:38:50.704:438:528:;0038024;
Lifetime;16:38:57.364:219:264:;0012645;
Lifetime;16:39:00.984:595:456:;0008532;
Lifetime;16:39:03.836:036:352:;0049946;
Lifetime;16:39:04.446:424:736:;0022109;
Lifetime;16:39:04.745:815:040:;0007286;
Lifetime;16:39:13.390:299:392:;0021791;
Lifetime;16:39:18.507:156:224:;0010150;
Lifetime;16:39:21.061:253:756:;0042655;
Lifetime;16:39:33.660:253:440:;0013825;
Lifetime;16:39:36.901:735:232:;0046524;
Lifetime;16:39:42.975:905:216:;0026520;
Lifetime;16:39:47.657:880:512:;0023104;
Lifetime;16:39:47.930:443:584:;0035435;
Lifetime;16:39:49.744:545:792:;0008528;
Lifetime;16:39:51.531:262:688:;0043830;
Lifetime;16:39:51.900:476:736:;0033993;
Lifetime;16:40:00.171:384:912:;0048246;
Lifetime;16:40:01.210:282:048:;0025523;
Lifetime;16:40:07.630:425:280:;0036797;
Lifetime;16:40:11.015:999:386:;0014633;
Lifetime;16:40:14.445:368:736:;0001930;
Lifetime;16:40:17.856:361:472:;0042778;
Lifetime;16:40:17.941:024:512:;0010398;
Lifetime;16:40:20.248:261:776:;0029208;
Lifetime;16:40:23.256:418:080:;0006140;
Lifetime;16:40:24.146:296:832:;0014573;
Lifetime;16:40:30.697:947:584:;0000684;
Lifetime;16:40:32.638:836:224:;0027332;
Lifetime;16:40:33.006:087:323:;0023726;
Lifetime;16:40:35.924:921:792:;0004171;
Lifetime;16:40:57.606:136:320:;0031135;
Lifetime;16:41:09.291:155:200:;0012264;
Lifetime;16:41:15.373:213:696:;0044833;
Lifetime;16:41:18.443:393:536:;0042717;
Lifetime;16:41:19.184:660:960:;0028401;
Lifetime;16:41:20.958:743:168:;0047207;
Lifetime;16:41:28.469:543:328:;0046587;
Lifetime;16:41:40.375:234:368:;0005478;
Lifetime;16:41:45.632:005:696:;0026277;
Lifetime;16:41:46.294:088:384:;0021674;
Lifetime;16:41:50.491:313:312:;0005667;
Lifetime;16:42:00.481:708:736:;0038231;
Lifetime;16:42:08.206:274:592:;0008095;
Lifetime;16:42:32.740:699:520:;0015567;
Lifetime;16:42:33.095:141:448:;0016189;
Lifetime;16:42:37.134:743:520:;0009401;
Lifetime;16:42:41.807:593:472:;0007097;
Lifetime;16:42:48.757:215:424:;0043958;
Lifetime;16:42:50.851:912:448:;0018176;
Lifetime;16:42:56.951:139:264:;0023221;
Lifetime;16:43:00.830:244:288:;0040280;
Lifetime;16:43:03.550:637:632:;0019738;
Lifetime;16:43:14.686:112:064:;0040843;
Lifetime;16:43:32.021:252:600:;0024470;
Lifetime;16:43:42.350:374:112:;0001556;
Lifetime;16:44:02.076:362:208:;0040349;
Lifetime;16:44:04.119:912:840:;0015505;
Lifetime;16:44:05.866:518:976:;0015690;
Lifetime;16:44:11.373:071:424:;0025465;
Lifetime;16:44:14.020:469:612:;0010895;
Lifetime;16:44:15.864:218:688:;0037420;
Lifetime;16:44:18.320:767:904:;0010525;
Stopping logging session;16:44:18.331:317:216:;Date:25/1/20
