Waiting for GPS Fix
GPS Fix obtained at;13:47:33.000:000:000:;Date:25/1/2022;
Lifetime;13:47:34.391:722:304:;2222279;
Lifetime;13:47:34.502:846:368:;2376628;
Lifetime;13:47:34.639:312:512:;0962332;
Lifetime;13:47:34.681:726:528:;0317166;
Lifetime;13:47:34.722:790:400:;2784200;
Lifetime;13:47:34.889:802:304:;2027335;
Lifetime;13:47:34.969:608:512:;1264430;
Lifetime;13:47:35.117:135:128:;0739884;
Lifetime;13:47:35.206:180:416:;0316888;
Lifetime;13:47:35.213:859:232:;0987156;
Lifetime;13:47:35.231:202:864:;0791693;
Lifetime;13:47:35.352:200:768:;0122110;
Lifetime;13:47:35.548:994:880:;0123916;
Lifetime;13:47:35.851:826:816:;0669831;
Lifetime;13:47:35.873:937:920:;2533928;
Lifetime;13:47:36.008:602:513:;2483111;
Lifetime;13:47:36.016:046:306:;0077389;
Lifetime;13:47:36.124:537:544:;1329933;
Lifetime;13:47:36.245:330:464:;1809397;
Lifetime;13:47:36.404:946:464:;0864603;
Lifetime;13:47:36.573:577:664:;0981714;
Lifetime;13:47:36.629:690:048:;2732275;
Lifetime;13:47:36.669:628:352:;2823922;
Lifetime;13:47:36.696:308:352:;0790264;
Lifetime;13:47:36.708:160:704:;1699384;
Lifetime;13:47:36.734:831:424:;1052067;
Lifetime;13:47:36.852:654:208:;0055909;
Lifetime;13:47:36.873:639:104:;0675768;
Lifetime;13:47:36.902:114:624:;3564192;
Lifetime;13:47:37.060:242:108:;0668203;
Lifetime;13:47:37.245:852:496:;1348854;
Lifetime;13:47:37.335:744:192:;1373688;
Lifetime;13:47:37.412:703:456:;2216908;
Lifetime;13:47:37.556:791:424:;0906456;
Lifetime;13:47:37.694:346:752:;2956749;
Lifetime;13:47:37.714:265:088:;0169789;
Lifetime;13:47:37.808:580:032:;1383148;
Lifetime;13:47:37.820:361:280:;0936828;
Lifetime;13:47:37.881:474:112:;0549761;
Lifetime;13:47:37.885:837:632:;3001064;
Lifetime;13:47:37.918:019:904:;3051664;
Lifetime;13:47:37.943:574:080:;1960482;
Lifetime;13:47:37.951:059:008:;3282200;
Lifetime;13:47:37.969:091:776:;0021846;
Lifetime;13:47:37.987:381:440:;2254501;
Lifetime;13:47:38.033:438:760:;0582182;
Lifetime;13:47:38.083:208:432:;0575273;
Lifetime;13:47:38.126:139:368:;0110225;
Lifetime;13:47:38.140:475:904:;1512777;
Lifetime;13:47:38.160:933:184:;0375673;
Lifetime;13:47:38.315:520:576:;1021277;
Lifetime;13:47:38.353:072:704:;0024148;
Lifetime;13:47:38.371:744:416:;1343239;
Lifetime;13:47:38.459:581:856:;1109469;
Lifetime;13:47:38.906:684:928:;2120789;
Lifetime;13:47:38.967:416:704:;2541523;
Lifetime;13:47:38.986:373:760:;0106303;
Lifetime;13:47:39.004:496:787:;2534461;
Lifetime;13:47:39.054:039:688:;0968372;
Lifetime;13:47:39.070:651:336:;1634867;
Lifetime;13:47:39.090:072:680:;3355069;
Lifetime;13:47:39.167:586:096:;0645830;
Lifetime;13:47:39.218:035:424:;2022577;
Lifetime;13:47:39.318:529:984:;2109717;
Lifetime;13:47:39.462:339:968:;2098762;
Lifetime;13:47:39.563:980:992:;1856326;
Lifetime;13:47:40.061:805:612:;2063113;
Lifetime;13:47:40.146:934:960:;2436628;
Lifetime;13:47:40.251:803:872:;0724869;
Lifetime;13:47:40.365:443:040:;1188028;
Lifetime;13:47:40.414:540:224:;0642322;
Lifetime;13:47:40.565:793:600:;0161545;
Lifetime;13:47:40.661:315:200:;0438320;
Lifetime;13:47:40.676:718:528:;0306843;
Lifetime;13:47:40.701:752:896:;3169777;
Lifetime;13:47:40.710:708:224:;0914677;
Lifetime;13:47:40.767:743:872:;0813330;
Lifetime;13:47:40.927:530:304:;0984586;
Lifetime;13:47:40.959:297:984:;1998245;
Lifetime;13:47:41.140:707:296:;0359320;
Lifetime;13:47:41.148:155:552:;0301933;
Lifetime;13:47:41.180:667:200:;2789543;
Lifetime;13:47:41.211:319:424:;0016182;
Lifetime;13:47:41.246:428:720:;1710834;
