Waiting for GPS Fix
GPS Fix obtained at;12:28:40.000:000:000:;Date:26/1/2022;
Lifetime;12:28:42.027:687:098:;0000684;
Lifetime;12:28:44.819:028:416:;0013634;
Lifetime;12:28:45.393:888:224:;0040097;
Lifetime;12:28:48.673:402:368:;0009900;
Lifetime;12:28:50.171:862:656:;0038293;
Lifetime;12:28:51.490:825:664:;0022100;
Lifetime;12:28:52.779:629:888:;0025899;
Lifetime;12:29:05.620:501:568:;0009715;
Lifetime;12:29:06.416:004:992:;0015068;
Lifetime;12:29:12.397:437:856:;0038421;
Lifetime;12:29:14.870:106:880:;0048204;
Lifetime;12:29:19.329:163:328:;0003611;
Lifetime;12:29:19.472:719:904:;0010087;
Lifetime;12:29:24.611:676:736:;0017811;
Lifetime;12:29:25.916:366:144:;0037045;
Lifetime;12:29:27.964:579:008:;0028891;
Lifetime;12:29:30.600:651:008:;0007597;
Lifetime;12:29:32.180:476:288:;0013263;
Lifetime;12:29:47.170:662:240:;0022203;
Lifetime;12:29:47.611:001:280:;0005209;
Lifetime;12:29:49.529:013:568:;0026717;
Lifetime;12:29:53.914:531:968:;0018434;
Lifetime;12:29:54.828:187:136:;0020797;
Lifetime;12:29:57.190:117:696:;0024226;
Lifetime;12:29:57.699:787:968:;0008532;
Lifetime;12:29:59.039:242:608:;0006787;
Lifetime;12:30:01.637:430:208:;0036090;
Lifetime;12:30:02.224:424:704:;0044081;
Lifetime;12:30:03.343:717:632:;0027708;
Lifetime;12:30:05.482:721:312:;0017871;
Lifetime;12:30:06.442:089:824:;0002179;
Lifetime;12:30:16.740:635:776:;0029824;
Lifetime;12:30:25.528:669:056:;0027644;
Lifetime;12:30:29.815:745:536:;0038923;
Lifetime;12:30:37.253:583:792:;0034744;
Lifetime;12:30:42.378:798:336:;0015066;
Lifetime;12:30:42.863:927:808:;0010085;
Lifetime;12:30:43.924:120:192:;0016437;
Lifetime;12:30:47.368:097:376:;0032809;
Lifetime;12:30:47.994:387:200:;0010894;
Lifetime;12:30:50.769:035:456:;0048207;
Lifetime;12:30:54.240:095:920:;0043153;
Lifetime;12:30:58.251:290:240:;0040028;
Lifetime;12:30:58.637:999:232:;0027702;
Lifetime;12:31:09.772:691:904:;0047139;
Lifetime;12:31:12.827:854:848:;0004234;
Lifetime;12:31:13.516:835:008:;0006600;
Lifetime;12:31:21.546:241:216:;0036125;
Lifetime;12:31:31.564:316:992:;0027336;
Lifetime;12:31:32.482:636:608:;0042102;
Lifetime;12:31:35.866:933:760:;0029201;
Lifetime;12:31:37.052:086:216:;0049484;
Lifetime;12:31:38.405:101:024:;0024965;
Lifetime;12:31:40.484:312:512:;0047628;
Lifetime;12:31:55.430:352:256:;0005916;
Lifetime;12:31:58.568:803:008:;0008407;
Lifetime;12:31:59.145:294:848:;0023289;
Lifetime;12:32:05.024:377:760:;0042591;
Lifetime;12:32:05.789:440:192:;0008406;
Lifetime;12:32:06.730:344:320:;0009528;
Lifetime;12:32:07.719:299:008:;0017000;
Lifetime;12:32:16.690:329:920:;0008776;
Lifetime;12:32:17.071:406:256:;0025960;
Lifetime;12:32:17.236:942:064:;0049492;
Lifetime;12:32:27.173:874:672:;0016501;
Lifetime;12:32:28.138:447:968:;0016253;
Lifetime;12:32:28.544:190:592:;0040477;
Lifetime;12:32:28.600:569:216:;0010150;
Lifetime;12:32:28.896:633:472:;0019429;
Lifetime;12:32:30.929:372:992:;0016126;
Lifetime;12:32:33.944:156:096:;0031444;
Lifetime;12:32:40.553:763:712:;0024532;
Lifetime;12:32:45.147:958:656:;0005854;
Lifetime;12:32:53.721:555:136:;0046132;
Lifetime;12:32:54.700:620:992:;0010275;
Lifetime;12:33:01.241:084:032:;0002927;
Lifetime;12:33:01.795:486:976:;0002491;
Lifetime;12:33:07.035:150:580:;0049627;
Lifetime;12:33:07.565:569:856:;0023910;
Lifetime;12:33:10.046:901:012:;0016126;
Lifetime;12:33:11.695:006:144:;0021230;
Lifetime;12:33:15.273:888:288:;0042394;
Lifetime;12:33:20.218:224:112:;0023221;
Lifetime;12:33:22.276:247:584:;0008280;
Lifetime;12:33:23.533:831:072:;0017244;
