Waiting for GPS Fix
GPS Fix obtained at;11:29:07.000:000:000:;Date:25/1/2022;
Lifetime;11:29:08.294:237:472:;0926461;
Lifetime;11:29:10.074:512:344:;1658928;
Lifetime;11:29:10.378:690:112:;0025459;
Lifetime;11:29:12.367:515:584:;1418873;
Lifetime;11:29:13.318:739:136:;3248288;
Lifetime;11:29:13.617:825:024:;0067985;
Lifetime;11:29:13.959:403:840:;0299458;
Lifetime;11:29:14.184:826:208:;1711444;
Lifetime;11:29:14.813:160:000:;1368496;
Lifetime;11:29:14.901:249:920:;0351726;
Lifetime;11:29:15.894:220:544:;0858757;
Lifetime;11:29:15.993:442:496:;2087491;
Lifetime;11:29:16.293:802:432:;3152903;
Lifetime;11:29:17.045:716:716:;1004041;
Lifetime;11:29:17.348:878:912:;0387668;
Lifetime;11:29:18.611:502:784:;0249161;
Lifetime;11:29:18.678:523:264:;0186404;
Lifetime;11:29:18.828:291:328:;1595082;
Lifetime;11:29:18.971:688:000:;2768357;
Lifetime;11:29:20.008:768:260:;1426024;
Lifetime;11:29:20.261:678:576:;3238485;
Lifetime;11:29:20.740:777:216:;0595250;
Lifetime;11:29:21.326:688:320:;2739267;
Lifetime;11:29:21.366:731:680:;0195172;
Lifetime;11:29:22.548:367:168:;0840650;
Lifetime;11:29:23.662:211:648:;1757483;
Lifetime;11:29:24.110:949:800:;2959933;
Lifetime;11:29:25.539:634:752:;2269580;
Lifetime;11:29:26.213:704:272:;1973750;
Lifetime;11:29:26.571:297:792:;0828772;
Lifetime;11:29:27.608:189:760:;2679801;
Lifetime;11:29:29.630:547:264:;0740040;
Lifetime;11:29:30.310:371:712:;0507374;
Lifetime;11:29:30.537:069:568:;1107508;
Lifetime;11:29:34.116:611:800:;0378158;
Lifetime;11:29:34.665:441:152:;0233881;
Lifetime;11:29:35.295:948:992:;1665140;
Lifetime;11:29:35.405:231:392:;1701629;
Lifetime;11:29:36.205:837:136:;0566318;
Lifetime;11:29:36.760:662:656:;2406510;
Lifetime;11:29:38.392:314:592:;1778414;
Lifetime;11:29:39.885:660:544:;2021828;
Lifetime;11:29:41.116:043:440:;0017432;
Lifetime;11:29:43.882:521:984:;2386216;
Lifetime;11:29:44.071:807:832:;0052982;
Lifetime;11:29:45.057:201:776:;3591059;
Lifetime;11:29:45.716:138:624:;0348921;
Lifetime;11:29:46.094:454:464:;0529923;
Lifetime;11:29:46.454:267:488:;1313572;
Lifetime;11:29:50.176:673:328:;0204786;
Lifetime;11:29:50.357:711:264:;0249478;
Lifetime;11:29:51.601:675:200:;0423729;
Lifetime;11:29:52.381:169:152:;0168134;
Lifetime;11:29:52.445:113:312:;1801168;
Lifetime;11:29:52.771:900:800:;1623261;
Lifetime;11:29:52.893:509:568:;1207875;
Lifetime;11:29:53.159:934:832:;0015376;
Lifetime;11:29:54.498:642:112:;1439794;
Lifetime;11:29:54.976:564:928:;1916881;
Lifetime;11:29:55.375:929:472:;3519038;
Lifetime;11:29:56.395:942:912:;2383031;
Lifetime;11:29:56.507:474:624:;2114300;
Lifetime;11:29:57.107:799:752:;1907326;
Lifetime;11:29:57.968:303:616:;0501924;
Lifetime;11:29:58.058:087:048:;2197652;
Lifetime;11:29:58.119:933:352:;1824777;
Lifetime;11:29:59.388:705:600:;1347949;
Lifetime;11:29:59.911:571:392:;1068533;
Lifetime;11:30:00.161:582:080:;0026589;
Lifetime;11:30:01.988:937:920:;0039791;
Lifetime;11:30:03.110:648:208:;2806280;
Lifetime;11:30:03.378:116:352:;0289313;
Lifetime;11:30:03.521:053:760:;0235397;
Lifetime;11:30:04.250:254:640:;0721991;
Lifetime;11:30:04.689:753:600:;1729578;
Lifetime;11:30:05.549:593:856:;0845866;
Lifetime;11:30:06.663:238:912:;0564573;
Lifetime;11:30:06.674:453:952:;1102618;
Lifetime;11:30:06.764:395:584:;2486402;
Lifetime;11:30:08.796:771:584:;0847937;
Lifetime;11:30:09.130:670:968:;3704649;
Lifetime;11:30:10.261:460:800:;1700315;
Lifetime;11:30:10.687:173:760:;0521583;
Lifetime;11:30:10.883:470:720:;1136885;
Lifetime;11:30:11.482:460:736:;2203295;
Lifetime;11:30:12.588:389:952:;1272458;
Lifetime;11:30:12.674:393:088:;0012515;
Lifetime;11:30:14.065:948:316:;1509997;
Lifetime;11:30:14.667:489:088:;0135749;
Lifetime;11:30:15.540:304:448:;2215058;
Lifetime;11:30:15.647:554:752:;0023099;
Lifetime;11:30:16.017:275:638:;1259792;
Lifetime;11:30:16.869:186:176:;0290046;
Lifetime;11:30:17.307:095:424:;1190018;
Lifetime;11:30:17.958:940:480:;0908482;
Lifetime;11:30:18.134:729:808:;0240227;
Lifetime;11:30:19.495:360:352:;2258239;
Lifetime;11:30:19.708:492:480:;0232816;
Stopping logging session;11:30:19.460:944:000:;Date:25/1/20
