Waiting for GPS Fix
GPS Fix obtained at;11:42:58.000:000:000:;Date:25/1/2022;
Lifetime;11:42:59.193:591:024:;1342268;
Lifetime;11:42:59.329:580:192:;0093820;
Lifetime;11:43:00.316:240:032:;0193546;
Lifetime;11:43:04.043:578:072:;0701615;
Lifetime;11:43:04.220:823:040:;0647913;
Lifetime;11:43:07.046:331:080:;1235071;
Lifetime;11:43:07.143:538:160:;1267344;
Lifetime;11:43:07.385:383:584:;0499037;
Lifetime;11:43:08.678:008:832:;0993386;
Lifetime;11:43:09.557:803:584:;0671030;
Lifetime;11:43:09.686:938:496:;2965814;
Lifetime;11:43:10.143:980:848:;0757142;
Lifetime;11:43:10.456:037:664:;1153467;
Lifetime;11:43:11.065:606:392:;0317591;
Lifetime;11:43:11.076:720:424:;0706015;
Lifetime;11:43:12.940:069:888:;1241403;
Lifetime;11:43:12.958:134:208:;0445240;
Lifetime;11:43:13.335:664:128:;1981902;
Lifetime;11:43:13.597:159:936:;1233433;
Lifetime;11:43:13.749:994:688:;0048153;
Lifetime;11:43:14.349:098:112:;1128609;
Lifetime;11:43:14.655:267:456:;1840134;
Lifetime;11:43:15.482:475:776:;0806356;
Lifetime;11:43:16.451:912:672:;0721608;
Lifetime;11:43:17.053:096:508:;0167906;
Lifetime;11:43:17.196:716:912:;1516202;
Lifetime;11:43:20.876:460:672:;1043019;
Lifetime;11:43:21.060:013:244:;0763768;
Lifetime;11:43:21.265:789:664:;0185895;
Lifetime;11:43:21.285:867:680:;1646151;
Lifetime;11:43:21.331:468:256:;1422689;
Lifetime;11:43:21.462:986:592:;1242587;
Lifetime;11:43:22.064:519:056:;0408913;
Lifetime;11:43:22.925:123:904:;1493722;
Lifetime;11:43:23.037:259:980:;0427677;
Lifetime;11:43:23.286:873:120:;1899883;
Lifetime;11:43:24.291:343:840:;0876959;
Lifetime;11:43:24.348:469:376:;0903121;
Lifetime;11:43:25.037:967:788:;1844278;
Lifetime;11:43:26.597:887:744:;2018921;
Lifetime;11:43:27.598:599:296:;0495584;
Lifetime;11:43:27.918:371:392:;0329769;
Lifetime;11:43:28.438:875:776:;0099045;
Lifetime;11:43:30.014:280:668:;1129743;
Lifetime;11:43:30.111:893:920:;0533010;
Lifetime;11:43:31.760:711:168:;0226275;
Lifetime;11:43:31.899:673:856:;0751885;
Lifetime;11:43:32.468:760:512:;1834240;
Lifetime;11:43:32.714:095:808:;0764282;
Lifetime;11:43:33.178:572:064:;0081110;
Lifetime;11:43:33.185:131:488:;0913708;
Lifetime;11:43:33.561:362:368:;1519981;
Lifetime;11:43:37.699:495:104:;0449296;
Lifetime;11:43:38.222:096:496:;2316019;
Lifetime;11:43:38.808:993:664:;1542975;
Lifetime;11:43:39.045:953:440:;1387285;
Lifetime;11:43:40.124:920:544:;0101227;
Lifetime;11:43:41.539:918:784:;0360319;
Lifetime;11:43:42.348:083:200:;1960972;
Lifetime;11:43:42.393:220:832:;2674132;
Lifetime;11:43:42.998:051:712:;0718353;
Lifetime;11:43:43.402:938:432:;0264709;
Lifetime;11:43:45.323:269:120:;2310539;
Lifetime;11:43:45.921:262:336:;0240997;
Lifetime;11:43:47.014:728:883:;0552671;
Lifetime;11:43:48.256:211:840:;0496827;
Lifetime;11:43:48.792:378:048:;3409432;
Lifetime;11:43:48.850:246:208:;2888364;
Lifetime;11:43:50.895:388:224:;1322876;
Lifetime;11:43:51.379:832:064:;1393784;
Lifetime;11:43:51.442:149:088:;0333588;
Lifetime;11:43:52.494:187:840:;2088444;
Lifetime;11:43:52.629:315:008:;0097746;
Lifetime;11:43:53.128:356:640:;1654313;
Lifetime;11:43:53.956:708:160:;1561109;
Lifetime;11:43:55.453:892:448:;2604004;
Lifetime;11:43:55.772:696:384:;0623157;
Lifetime;11:43:56.669:073:728:;0450413;
Lifetime;11:43:57.046:244:296:;1869189;
Lifetime;11:43:57.365:632:928:;0021062;
Lifetime;11:43:57.590:904:640:;0005795;
Lifetime;11:43:57.866:151:872:;1925334;
Lifetime;11:43:58.108:510:064:;0359342;
Lifetime;11:43:58.548:525:248:;1095287;
Lifetime;11:43:59.282:759:488:;1406037;
Lifetime;11:44:00.114:251:848:;0025608;
Lifetime;11:44:01.130:738:600:;3218880;
Lifetime;11:44:02.025:382:450:;0551149;
Lifetime;11:44:02.135:258:672:;0108285;
Lifetime;11:44:02.869:841:472:;1624911;
Lifetime;11:44:03.161:158:384:;1049293;
Lifetime;11:44:03.169:199:872:;0355351;
Lifetime;11:44:04.777:036:416:;0990703;
Lifetime;11:44:05.278:028:640:;0853355;
Lifetime;11:44:05.308:173:568:;0287130;
Lifetime;11:44:05.972:725:504:;1804144;
Lifetime;11:44:06.662:966:336:;1910586;
Lifetime;11:44:07.756:535:296:;2117099;
Lifetime;11:44:08.294:676:544:;0468352;
Lifetime;11:44:10.435:524:480:;0628654;
Lifetime;11:44:11.972:702:336:;2235236;
Lifetime;11:44:12.123:131:952:;2792107;
Lifetime;11:44:14.125:320:760:;0443428;
Lifetime;11:44:17.679:588:672:;1370831;
Lifetime;11:44:17.756:077:952:;0326898;
Lifetime;11:44:19.175:242:016:;0346516;
Lifetime;11:44:19.405:084:128:;1448377;
Lifetime;11:44:20.909:194:880:;0704226;
Lifetime;11:44:21.232:302:352:;0393428;
Lifetime;11:44:22.680:930:240:;0892987;
Lifetime;11:44:23.455:089:184:;1207584;
Lifetime;11:44:24.260:166:000:;0399216;
Lifetime;11:44:24.715:151:232:;1660297;
Lifetime;11:44:24.957:113:792:;1097144;
Lifetime;11:44:24.989:311:680:;0542964;
Lifetime;11:44:25.438:172:864:;2435563;
Lifetime;11:44:25.879:354:816:;1905445;
Lifetime;11:44:25.912:063:232:;0814243;
Lifetime;11:44:26.379:707:744:;3696650;
Lifetime;11:44:27.997:526:400:;0962784;
Lifetime;11:44:29.606:168:576:;0692855;
Lifetime;11:44:29.621:900:992:;0225053;
Lifetime;11:44:30.188:580:192:;0205540;
Lifetime;11:44:30.825:316:352:;2091857;
