Waiting for GPS Fix
GPS Fix obtained at;14:03:59.000:000:000:;Date:25/1/2022;
Lifetime;14:04:00.143:712:672:;1894045;
Lifetime;14:04:00.290:579:200:;0533194;
Lifetime;14:04:00.355:173:696:;0131819;
Lifetime;14:04:00.804:348:096:;2680357;
Lifetime;14:04:01.059:425:208:;0351469;
Lifetime;14:04:01.224:606:128:;2451630;
Lifetime;14:04:01.469:956:800:;0113254;
Lifetime;14:04:01.532:752:128:;1610719;
Lifetime;14:04:01.612:141:056:;2096425;
Lifetime;14:04:01.820:540:736:;3365201;
Lifetime;14:04:01.906:943:936:;1227683;
Lifetime;14:04:02.104:527:288:;0840715;
Lifetime;14:04:02.567:666:816:;0221276;
Lifetime;14:04:02.600:724:672:;2036319;
Lifetime;14:04:02.918:588:096:;0938278;
Lifetime;14:04:03.400:129:184:;1635838;
Lifetime;14:04:03.416:435:456:;1624381;
Lifetime;14:04:03.820:752:128:;0858267;
Lifetime;14:04:04.066:319:920:;0354415;
Lifetime;14:04:04.141:538:768:;0678689;
Lifetime;14:04:04.453:143:680:;3754027;
Lifetime;14:04:04.533:704:384:;0913720;
Lifetime;14:04:04.630:430:848:;1359122;
Lifetime;14:04:04.755:911:552:;2656403;
Lifetime;14:04:04.908:637:632:;0573006;
Lifetime;14:04:04.984:705:472:;1484688;
Lifetime;14:04:05.037:441:732:;0769185;
Lifetime;14:04:05.282:316:032:;1560604;
Lifetime;14:04:05.363:603:936:;2870854;
Lifetime;14:04:05.542:965:888:;1512401;
Lifetime;14:04:06.144:889:488:;2038325;
Lifetime;14:04:06.432:365:888:;0466649;
Lifetime;14:04:06.594:995:328:;1153991;
Lifetime;14:04:06.673:745:920:;1308020;
Lifetime;14:04:07.108:445:168:;0272121;
Lifetime;14:04:07.223:757:648:;1633783;
Lifetime;14:04:07.559:453:312:;1131658;
Lifetime;14:04:07.666:145:984:;0217597;
Lifetime;14:04:07.943:207:232:;1530009;
Lifetime;14:04:08.047:228:504:;1112689;
Lifetime;14:04:09.237:337:008:;1040670;
Lifetime;14:04:09.416:934:880:;1811862;
Lifetime;14:04:09.543:087:104:;0740364;
Lifetime;14:04:10.150:130:176:;0666326;
Lifetime;14:04:10.277:854:208:;3289161;
Lifetime;14:04:10.641:516:736:;3207396;
Lifetime;14:04:10.988:045:504:;0973834;
Lifetime;14:04:11.230:563:552:;0786788;
Lifetime;14:04:11.314:293:792:;0324777;
Lifetime;14:04:11.428:808:640:;2835326;
Lifetime;14:04:11.519:229:792:;1552032;
Lifetime;14:04:11.644:889:984:;2927915;
Lifetime;14:04:11.959:821:696:;0852602;
Lifetime;14:04:12.139:060:080:;2840510;
Lifetime;14:04:12.332:840:000:;0119999;
Lifetime;14:04:12.475:431:200:;1155969;
Lifetime;14:04:12.578:465:472:;0838067;
Lifetime;14:04:12.827:499:648:;0629079;
Lifetime;14:04:13.030:361:846:;1230850;
Lifetime;14:04:13.107:862:880:;0846225;
Lifetime;14:04:13.249:308:096:;2995791;
Lifetime;14:04:13.704:762:112:;0875806;
Lifetime;14:04:13.980:193:216:;1004050;
Lifetime;14:04:14.058:827:516:;1924300;
Lifetime;14:04:14.227:850:816:;0558774;
Lifetime;14:04:14.340:404:864:;0545886;
Lifetime;14:04:14.444:955:616:;1757010;
Lifetime;14:04:14.612:725:568:;2881906;
Lifetime;14:04:14.898:185:024:;1210127;
Lifetime;14:04:15.163:653:840:;0873067;
Lifetime;14:04:16.152:172:992:;2856301;
Lifetime;14:04:16.408:086:944:;1992549;
Lifetime;14:04:16.957:392:512:;0063195;
Lifetime;14:04:17.291:817:088:;0150423;
Lifetime;14:04:17.371:670:176:;0515524;
Lifetime;14:04:17.556:580:992:;1516190;
Lifetime;14:04:17.605:316:864:;1457415;
Lifetime;14:04:17.822:705:920:;1442971;
Lifetime;14:04:18.137:806:560:;0607642;
Lifetime;14:04:18.985:711:168:;1040667;
Lifetime;14:04:19.173:088:848:;1819610;
Lifetime;14:04:19.631:637:888:;0863507;
Lifetime;14:04:19.741:365:760:;1027465;
Lifetime;14:04:19.863:243:648:;0827203;
Lifetime;14:04:19.974:193:920:;1047293;
Lifetime;14:04:20.072:998:896:;0156356;
Lifetime;14:04:20.599:951:424:;2916157;
Lifetime;14:04:20.668:019:520:;0285127;
Lifetime;14:04:21.238:816:400:;1910443;
Lifetime;14:04:21.714:459:776:;2282319;
Lifetime;14:04:21.744:763:200:;1987533;
Lifetime;14:04:22.053:293:580:;3597323;
Lifetime;14:04:22.461:637:536:;0851735;
Lifetime;14:04:22.580:904:832:;1805945;
Lifetime;14:04:22.653:848:448:;2789479;
Lifetime;14:04:22.707:359:616:;1711190;
Lifetime;14:04:22.796:374:976:;2638755;
Lifetime;14:04:22.861:942:720:;1001898;
Lifetime;14:04:23.937:291:712:;0102423;
Lifetime;14:04:24.033:189:882:;0602036;
Lifetime;14:04:24.165:084:928:;1838361;
Lifetime;14:04:24.319:669:920:;0042526;
Lifetime;14:04:24.493:791:296:;0944740;
Lifetime;14:04:24.608:520:768:;0257588;
Lifetime;14:04:24.646:304:512:;1552504;
Lifetime;14:04:25.094:006:416:;1757356;
Lifetime;14:04:25.183:687:296:;3108934;
Lifetime;14:04:25.226:016:960:;1395038;
Lifetime;14:04:25.355:502:784:;3562780;
Lifetime;14:04:25.544:469:440:;2046762;
Lifetime;14:04:25.692:337:024:;0582360;
Lifetime;14:04:25.908:286:400:;1346658;
Lifetime;14:04:26.043:673:688:;0691985;
Lifetime;14:04:26.100:032:248:;1002240;
Lifetime;14:04:26.514:598:368:;1755243;
Lifetime;14:04:26.641:767:040:;2301659;
Lifetime;14:04:27.318:774:848:;2229475;
Lifetime;14:04:27.793:096:832:;0431398;
Lifetime;14:04:28.112:425:056:;1135434;
Lifetime;14:04:28.359:071:872:;1680365;
Lifetime;14:04:28.387:822:912:;2905200;
Lifetime;14:04:28.645:364:288:;2117842;
Lifetime;14:04:28.875:090:880:;0520775;
Lifetime;14:04:28.944:933:568:;1502312;
Lifetime;14:04:29.035:603:152:;0709157;
Lifetime;14:04:29.167:775:056:;3290123;
Lifetime;14:04:29.718:505:088:;2403925;
Lifetime;14:04:29.890:048:512:;0464824;
Lifetime;14:04:30.070:020:264:;0278512;
Lifetime;14:04:30.523:214:752:;1952762;
Lifetime;14:04:30.722:511:360:;1527710;
Lifetime;14:04:30.789:323:136:;0449579;
Lifetime;14:04:30.992:665:728:;1992430;
Lifetime;14:04:31.065:355:352:;1923270;
Lifetime;14:04:31.212:205:568:;3057587;
Lifetime;14:04:31.338:633:344:;1701910;
Lifetime;14:04:31.784:513:280:;0953791;
Lifetime;14:04:32.228:585:232:;0807909;
Lifetime;14:04:32.492:311:648:;0268535;
Lifetime;14:04:32.687:701:568:;1074204;
Lifetime;14:04:32.804:418:752:;1283293;
Lifetime;14:04:33.253:745:248:;0590360;
Lifetime;14:04:33.314:753:472:;0726200;
Lifetime;14:04:33.541:025:088:;1003233;
Lifetime;14:04:33.788:639:616:;1989595;
Lifetime;14:04:34.266:782:192:;0785217;
Lifetime;14:04:34.345:185:184:;1372683;
Lifetime;14:04:34.588:690:496:;2261447;
Lifetime;14:04:34.739:923:328:;1339434;
Lifetime;14:04:35.189:862:112:;1641090;
Lifetime;14:04:35.475:629:024:;1379768;
Lifetime;14:04:35.568:425:216:;1571229;
Lifetime;14:04:35.677:518:336:;2590428;
Lifetime;14:04:35.873:528:960:;3618405;
Lifetime;14:04:36.054:668:892:;0975707;
Lifetime;14:04:36.168:661:600:;0271365;
Lifetime;14:04:36.298:071:520:;2188728;
Lifetime;14:04:36.677:429:248:;0310398;
Lifetime;14:04:36.833:146:112:;2312489;
Lifetime;14:04:37.542:917:376:;1967619;
Lifetime;14:04:37.707:811:456:;0135955;
Lifetime;14:04:38.012:506:532:;3496684;
Lifetime;14:04:38.245:364:512:;0867495;
Lifetime;14:04:38.593:037:504:;1925906;
Lifetime;14:04:39.362:655:136:;0021165;
Lifetime;14:04:39.481:596:480:;0827430;
Lifetime;14:04:39.494:919:168:;0304964;
Lifetime;14:04:39.895:517:696:;1300408;
Lifetime;14:04:39.996:136:192:;0229525;
Lifetime;14:04:40.210:096:848:;1718483;
Lifetime;14:04:40.567:488:128:;1364079;
Lifetime;14:04:40.746:817:216:;0077442;
Lifetime;14:04:40.933:231:936:;0676374;
Lifetime;14:04:40.972:661:120:;2215105;
Lifetime;14:04:41.086:124:736:;3059627;
Lifetime;14:04:41.120:009:344:;0283354;
Lifetime;14:04:41.172:473:200:;1859107;
Lifetime;14:04:41.514:335:328:;1584654;
Lifetime;14:04:41.964:259:904:;0628832;
Lifetime;14:04:42.176:715:472:;2036375;
Lifetime;14:04:42.271:804:672:;0073832;
Lifetime;14:04:42.524:673:824:;0618364;
Lifetime;14:04:42.715:647:552:;2315955;
Lifetime;14:04:42.834:523:648:;1274516;
Lifetime;14:04:43.178:138:320:;1278735;
Lifetime;14:04:43.796:327:616:;2368098;
Lifetime;14:04:44.376:481:504:;1388159;
Lifetime;14:04:44.536:369:216:;1046426;
Lifetime;14:04:44.600:188:544:;1759650;
Lifetime;14:04:45.234:582:656:;1947270;
Lifetime;14:04:45.369:426:944:;0317986;
Lifetime;14:04:45.503:728:896:;0561317;
Lifetime;14:04:45.951:846:912:;1917383;
Lifetime;14:04:46.029:085:292:;2193395;
