Waiting for GPS Fix
GPS Fix obtained at;15:05:52.000:000:000:;Date:25/1/2022;
Lifetime;15:05:59.904:589:376:;0036424;
Lifetime;15:06:44.342:777:760:;0011270;
Lifetime;15:06:48.045:265:468:;0010274;
Lifetime;15:06:52.020:939:570:;0000560;
Lifetime;15:07:11.915:578:880:;0013823;
Lifetime;15:07:13.592:837:120:;0013821;
Lifetime;15:07:27.618:681:856:;0041910;
Lifetime;15:07:31.975:915:520:;0026655;
Lifetime;15:07:52.657:504:576:;0023665;
Lifetime;15:08:21.399:890:208:;0004342;
Lifetime;15:08:25.872:711:744:;0012143;
Lifetime;15:08:44.302:372:416:;0018499;
Lifetime;15:09:23.962:118:912:;0011582;
Lifetime;15:09:27.686:022:464:;0019304;
Lifetime;15:09:48.092:690:224:;0004856;
Lifetime;15:09:52.179:829:200:;0033187;
Lifetime;15:09:53.652:590:144:;0024597;
Lifetime;15:09:56.142:364:224:;0036490;
Lifetime;15:09:57.295:464:832:;0017871;
Lifetime;15:09:58.261:592:992:;0045267;
Lifetime;15:10:05.113:778:984:;0020360;
Lifetime;15:10:21.043:605:552:;0032566;
Lifetime;15:10:30.897:146:304:;0027520;
Lifetime;15:10:33.330:763:840:;0012701;
Lifetime;15:10:52.211:197:984:;0046254;
Lifetime;15:10:52.346:805:280:;0006972;
Lifetime;15:10:54.342:434:048:;0023032;
Lifetime;15:11:13.973:754:368:;0041715;
Lifetime;15:11:15.281:251:296:;0044955;
Lifetime;15:11:18.979:605:696:;0008281;
Lifetime;15:11:23.899:607:488:;0041342;
Lifetime;15:11:34.442:933:600:;0033128;
Lifetime;15:11:49.484:727:392:;0046392;
Lifetime;15:11:50.985:744:000:;0019552;
Lifetime;15:12:11.094:068:992:;0016069;
Lifetime;15:12:16.183:656:112:;0032694;
Lifetime;15:12:23.203:427:184:;0020488;
Lifetime;15:12:33.442:275:616:;0025284;
Lifetime;15:12:41.629:079:872:;0016936;
Lifetime;15:12:46.847:515:072:;0021237;
Lifetime;15:12:48.010:076:291:;0045039;
Lifetime;15:12:58.001:780:514:;0000933;
Lifetime;15:12:58.627:550:528:;0030260;
Lifetime;15:12:59.264:960:400:;0037983;
Lifetime;15:13:03.252:092:384:;0015569;
Lifetime;15:13:09.202:715:136:;0009466;
Lifetime;15:13:10.590:673:216:;0010025;
Lifetime;15:13:10.918:366:528:;0030263;
Lifetime;15:13:21.152:598:624:;0040419;
Lifetime;15:13:22.885:323:456:;0037301;
Lifetime;15:13:24.676:990:144:;0020423;
Lifetime;15:14:02.942:453:312:;0025343;
Lifetime;15:14:07.649:954:176:;0002170;
Lifetime;15:14:11.747:901:120:;0030388;
Lifetime;15:14:13.500:964:096:;0044147;
Lifetime;15:14:26.408:155:680:;0016063;
Lifetime;15:14:51.760:017:600:;0013388;
Lifetime;15:14:52.470:846:144:;0037733;
Lifetime;15:15:17.417:135:520:;0037644;
Lifetime;15:15:28.810:948:160:;0048748;
Lifetime;15:16:19.203:457:664:;0021042;
Lifetime;15:16:32.893:545:920:;0008841;
Lifetime;15:16:35.713:005:120:;0000249;
Lifetime;15:16:36.673:006:464:;0026454;
Lifetime;15:16:44.674:180:352:;0049194;
Lifetime;15:16:48.548:481:600:;0021415;
Lifetime;15:16:59.119:349:744:;0047510;
Lifetime;15:17:06.416:058:688:;0008530;
Lifetime;15:17:11.526:399:552:;0014007;
Lifetime;15:17:19.674:061:184:;0014755;
Lifetime;15:17:21.785:695:040:;0007782;
Lifetime;15:17:29.914:668:416:;0024035;
Lifetime;15:17:30.878:786:240:;0007098;
Lifetime;15:17:38.169:334:352:;0017745;
Lifetime;15:17:41.581:997:824:;0004917;
Lifetime;15:17:43.542:398:400:;0009586;
Lifetime;15:17:44.259:137:520:;0019485;
Lifetime;15:17:47.577:779:520:;0012950;
Lifetime;15:17:53.877:994:304:;0012579;
Lifetime;15:17:55.185:927:808:;0016500;
Lifetime;15:17:59.337:188:960:;0011704;
Lifetime;15:18:03.487:722:208:;0043648;
Lifetime;15:18:15.437:671:744:;0014507;
Lifetime;15:18:23.426:416:352:;0040225;
Lifetime;15:18:25.509:126:720:;0018305;
Lifetime;15:18:27.359:793:440:;0019983;
Lifetime;15:18:27.661:310:976:;0021415;
Lifetime;15:19:04.345:741:216:;0049867;
Lifetime;15:19:08.684:241:472:;0005727;
Lifetime;15:19:10.400:841:216:;0030880;
Lifetime;15:19:10.850:588:416:;0019985;
Lifetime;15:19:12.740:425:728:;0014757;
Lifetime;15:19:17.988:701:504:;0042718;
Lifetime;15:19:19.046:991:272:;0011705;
Lifetime;15:19:23.534:787:872:;0039787;
Lifetime;15:19:25.586:644:544:;0043584;
Lifetime;15:19:37.980:017:984:;0032746;
Lifetime;15:19:40.026:812:340:;0012636;
Stopping logging session;15:19:40.042:121:368:;Date:25/1/20
