Waiting for GPS Fix
GPS Fix obtained at;15:24:09.000:000:000:;Date:25/1/2022;
Lifetime;15:24:10.782:574:784:;0012889;
Lifetime;15:24:12.904:647:936:;0003859;
Lifetime;15:24:13.553:403:136:;0005851;
Lifetime;15:24:17.797:388:160:;0045074;
Lifetime;15:24:29.759:199:744:;0006724;
Lifetime;15:24:31.505:556:096:;0001245;
Lifetime;15:24:33.179:723:840:;0046261;
Lifetime;15:24:36.325:848:480:;0021167;
Lifetime;15:24:40.324:700:192:;0001120;
Lifetime;15:24:43.514:509:216:;0000933;
Lifetime;15:24:50.241:453:712:;0001618;
Lifetime;15:24:52.436:694:528:;0001867;
Lifetime;15:24:53.111:140:568:;0028267;
Lifetime;15:24:54.372:304:224:;0034433;
Lifetime;15:25:03.366:523:456:;0000373;
Lifetime;15:25:14.701:051:712:;0001618;
Lifetime;15:25:15.453:424:096:;0002054;
Lifetime;15:25:15.768:396:416:;0021414;
Lifetime;15:25:16.743:583:360:;0000186;
Lifetime;15:25:25.057:974:372:;0012762;
Lifetime;15:25:25.086:689:000:;0037104;
Lifetime;15:25:36.726:576:128:;0034989;
Lifetime;15:25:37.388:981:824:;0004358;
Lifetime;15:25:38.621:429:760:;0025899;
Lifetime;15:25:38.770:450:368:;0009463;
Lifetime;15:25:39.157:481:296:;0018739;
Lifetime;15:25:43.125:665:624:;0048567;
Lifetime;15:25:43.555:978:240:;0038480;
Lifetime;15:25:43.825:940:992:;0013449;
Lifetime;15:25:45.322:355:520:;0002926;
Lifetime;15:25:47.455:611:264:;0043335;
Lifetime;15:25:47.981:785:920:;0000996;
Lifetime;15:25:51.161:479:856:;0031884;
Lifetime;15:25:52.522:553:728:;0001245;
Lifetime;15:25:54.940:411:328:;0006102;
Lifetime;15:25:57.465:543:904:;0002739;
Lifetime;15:25:58.026:782:006:;0015066;
Lifetime;15:25:58.946:074:752:;0017743;
Lifetime;15:25:59.167:481:952:;0000933;
Lifetime;15:26:01.459:928:928:;0046514;
Lifetime;15:26:03.203:487:552:;0001805;
Lifetime;15:26:05.270:347:136:;0018305;
Lifetime;15:26:08.381:977:792:;0005789;
Lifetime;15:26:12.865:871:616:;0017553;
Lifetime;15:26:25.304:584:672:;0000124;
Lifetime;15:26:26.622:053:696:;0043086;
Lifetime;15:26:26.663:831:360:;0024967;
Lifetime;15:26:27.979:132:416:;0000373;
Lifetime;15:26:29.116:649:944:;0037979;
Lifetime;15:26:30.879:481:152:;0000435;
Lifetime;15:26:31.150:992:224:;0002365;
Lifetime;15:26:31.160:617:792:;0000560;
Lifetime;15:26:34.195:795:728:;0016564;
Lifetime;15:26:36.880:522:560:;0017930;
Lifetime;15:26:37.910:943:936:;0003859;
Lifetime;15:26:39.447:598:176:;0036166;
Lifetime;15:26:39.758:742:848:;0035108;
Lifetime;15:26:44.530:700:640:;0008901;
Lifetime;15:26:48.429:353:760:;0002055;
Lifetime;15:26:52.595:565:632:;0001930;
Lifetime;15:27:03.223:383:776:;0017437;
Lifetime;15:27:06.032:328:738:;0043216;
Lifetime;15:27:06.043:892:936:;0031260;
Lifetime;15:27:06.172:791:104:;0000809;
Lifetime;15:27:09.103:854:080:;0011019;
Lifetime;15:27:15.724:847:872:;0000124;
Lifetime;15:27:16.869:023:488:;0029015;
Lifetime;15:27:19.352:291:456:;0016624;
Lifetime;15:27:23.564:737:536:;0013016;
Lifetime;15:27:24.666:442:496:;0030013;
Lifetime;15:27:25.187:841:152:;0013137;
Lifetime;15:27:29.753:543:232:;0028208;
Lifetime;15:27:30.584:758:400:;0005728;
Lifetime;15:27:32.090:683:536:;0007843;
Lifetime;15:27:36.344:547:616:;0011829;
Lifetime;15:27:40.156:303:504:;0000186;
Lifetime;15:27:42.392:548:352:;0001369;
Lifetime;15:27:44.807:786:752:;0000498;
Lifetime;15:27:52.205:552:208:;0049618;
Lifetime;15:27:56.946:041:984:;0037485;
Lifetime;15:27:59.807:192:384:;0042220;
Lifetime;15:28:02.515:710:784:;0001868;
Lifetime;15:28:05.577:001:024:;0014569;
Lifetime;15:28:06.592:046:336:;0029264;
Lifetime;15:28:06.917:197:312:;0032315;
Lifetime;15:28:12.730:632:512:;0013387;
Lifetime;15:28:15.974:073:408:;0000311;
Lifetime;15:28:18.068:164:064:;0002553;
Lifetime;15:28:33.614:862:016:;0007970;
Lifetime;15:28:37.202:786:512:;0004420;
Lifetime;15:28:37.921:758:464:;0000124;
Lifetime;15:28:39.603:967:936:;0008468;
Lifetime;15:28:42.620:586:752:;0000249;
Lifetime;15:28:44.791:570:176:;0001556;
Lifetime;15:28:44.861:653:632:;0007968;
Lifetime;15:28:48.415:225:344:;0034055;
Lifetime;15:28:51.247:364:656:;0046634;
Lifetime;15:28:57.140:259:584:;0010771;
Stopping logging session;15:28:57.069:243:216:;Date:25/1/20
