Waiting for GPS Fix
GPS Fix obtained at;15:35:18.000:000:000:;Date:25/1/2022;
Lifetime;15:35:19.887:704:448:;0000560;
Lifetime;15:35:20.697:587:328:;0000311;
Lifetime;15:35:22.833:605:504:;0000311;
Lifetime;15:35:23.394:678:400:;0000249;
Lifetime;15:35:23.994:030:912:;0004793;
Lifetime;15:35:25.538:937:088:;0002054;
Lifetime;15:35:28.547:518:016:;0002365;
Lifetime;15:35:36.005:549:135:;0025144;
Lifetime;15:35:36.061:634:004:;0004668;
Lifetime;15:35:36.700:803:072:;0000684;
Lifetime;15:35:48.725:413:504:;0000124;
Lifetime;15:35:51.689:307:520:;0008654;
Lifetime;15:35:52.240:381:568:;0000684;
Lifetime;15:35:53.289:706:560:;0041784;
Lifetime;15:35:57.764:330:240:;0049130;
Lifetime;15:35:59.510:340:064:;0003237;
Lifetime;15:35:59.655:220:928:;0008405;
Lifetime;15:36:09.510:023:104:;0032445;
Lifetime;15:36:10.440:369:280:;0008655;
Lifetime;15:36:11.417:084:704:;0000435;
Lifetime;15:36:13.348:881:632:;0035742;
Lifetime;15:36:15.743:041:024:;0002179;
Lifetime;15:36:18.680:972:608:;0001868;
Lifetime;15:36:22.052:606:980:;0005043;
Lifetime;15:36:25.062:784:084:;0033559;
Lifetime;15:36:32.916:103:680:;0000996;
Lifetime;15:36:34.499:805:600:;0018618;
Lifetime;15:36:35.586:806:976:;0004046;
Lifetime;15:36:36.429:858:176:;0049122;
Lifetime;15:36:37.391:561:920:;0013010;
Lifetime;15:36:39.072:663:280:;0015683;
Lifetime;15:36:39.815:258:112:;0000622;
Lifetime;15:36:41.220:790:848:;0032549;
Lifetime;15:36:43.531:822:624:;0003610;
Lifetime;15:36:43.766:367:872:;0006846;
Lifetime;15:36:44.726:426:240:;0000435;
Lifetime;15:36:46.960:985:792:;0015622;
Lifetime;15:36:52.031:359:504:;0000684;
Lifetime;15:36:54.735:554:368:;0009151;
Lifetime;15:36:55.445:616:064:;0021977;
Lifetime;15:36:57.534:256:032:;0002988;
Lifetime;15:36:58.452:722:976:;0000124;
Lifetime;15:37:03.551:250:496:;0033926;
Lifetime;15:37:04.014:054:367:;0018611;
Lifetime;15:37:11.516:214:496:;0036913;
Lifetime;15:37:12.584:998:592:;0003299;
Lifetime;15:37:14.423:571:008:;0037224;
Lifetime;15:37:15.814:744:000:;0016684;
Lifetime;15:37:17.040:914:128:;0029819;
Lifetime;15:37:30.714:040:448:;0007905;
Lifetime;15:37:31.866:110:848:;0002801;
Lifetime;15:37:32.437:820:992:;0002863;
Lifetime;15:37:33.015:810:879:;0015686;
Lifetime;15:37:34.545:131:200:;0004170;
Lifetime;15:37:38.221:853:328:;0018240;
Lifetime;15:37:40.773:458:496:;0001680;
Lifetime;15:37:43.539:416:704:;0002988;
Lifetime;15:37:45.248:853:088:;0016622;
Lifetime;15:37:46.190:065:472:;0029452;
Lifetime;15:37:47.084:579:968:;0000622;
Lifetime;15:37:47.187:215:648:;0011268;
Lifetime;15:37:50.281:582:976:;0024215;
Lifetime;15:37:50.363:022:240:;0001556;
Lifetime;15:37:52.614:779:200:;0002676;
Lifetime;15:37:52.979:665:664:;0003050;
Lifetime;15:37:55.695:288:320:;0036356;
Lifetime;15:37:56.693:894:784:;0012950;
Lifetime;15:38:02.478:927:296:;0000933;
Lifetime;15:38:04.858:122:176:;0000186;
Lifetime;15:38:07.562:671:040:;0000622;
Lifetime;15:38:08.241:857:856:;0046513;
Lifetime;15:38:08.301:799:456:;0000249;
Lifetime;15:38:09.721:127:424:;0000560;
Lifetime;15:38:10.113:239:248:;0000498;
Lifetime;15:38:10.259:639:120:;0004917;
Lifetime;15:38:11.484:584:448:;0020795;
Lifetime;15:38:14.444:298:112:;0027893;
Lifetime;15:38:15.687:767:680:;0002677;
Lifetime;15:38:24.905:509:248:;0001556;
Lifetime;15:38:26.462:778:976:;0003735;
Lifetime;15:38:34.093:182:312:;0046825;
Lifetime;15:38:35.919:110:272:;0001743;
Lifetime;15:38:39.081:873:328:;0000124;
Lifetime;15:38:39.135:002:032:;0000373;
Lifetime;15:38:43.887:673:600:;0021107;
Lifetime;15:38:48.642:302:976:;0046262;
Lifetime;15:38:53.152:483:488:;0031000;
Lifetime;15:38:54.247:054:784:;0000498;
Lifetime;15:38:54.771:857:792:;0048687;
Lifetime;15:38:54.983:542:272:;0037916;
Lifetime;15:38:55.025:496:836:;0006101;
Lifetime;15:38:58.054:441:288:;0044572;
Lifetime;15:39:06.072:933:728:;0024340;
Lifetime;15:39:09.790:334:528:;0000124;
Lifetime;15:39:10.864:862:592:;0041712;
Lifetime;15:39:14.472:871:424:;0001619;
Lifetime;15:39:15.941:483:456:;0011769;
Lifetime;15:39:17.329:442:336:;0000124;
Lifetime;15:39:17.461:312:928:;0000622;
Lifetime;15:39:21.523:854:880:;0008406;
Lifetime;15:39:31.513:293:792:;0008717;
Lifetime;15:39:33.198:532:112:;0001743;
Lifetime;15:39:34.340:446:528:;0039780;
Lifetime;15:39:35.740:553:664:;0039164;
Lifetime;15:39:40.489:375:008:;0005292;
Lifetime;15:39:42.047:144:704:;0005479;
Lifetime;15:39:42.385:050:944:;0002303;
Lifetime;15:39:45.063:787:588:;0002490;
Lifetime;15:39:46.062:120:368:;0000560;
Lifetime;15:39:49.545:852:992:;0030015;
Lifetime;15:39:49.913:131:072:;0029330;
Lifetime;15:39:49.979:747:712:;0022231;
Lifetime;15:39:50.179:625:088:;0038104;
Lifetime;15:39:51.596:779:008:;0013199;
Lifetime;15:39:51.738:599:552:;0000560;
Lifetime;15:39:51.784:540:800:;0030135;
Lifetime;15:39:53.719:104:704:;0009213;
Lifetime;15:39:54.397:930:816:;0026958;
Lifetime;15:39:59.204:529:040:;0009276;
Lifetime;15:39:59.465:172:064:;0039220;
Lifetime;15:40:02.220:438:224:;0016747;
Lifetime;15:40:06.653:925:312:;0005726;
Lifetime;15:40:06.891:956:992:;0024151;
Lifetime;15:40:07.616:506:496:;0038661;
Lifetime;15:40:08.155:400:208:;0005167;
Lifetime;15:40:13.252:751:696:;0004420;
Lifetime;15:40:19.637:637:248:;0006225;
Lifetime;15:40:20.702:997:888:;0004606;
Lifetime;15:40:21.143:535:776:;0000498;
Lifetime;15:40:21.824:002:560:;0007721;
Lifetime;15:40:33.549:960:128:;0000124;
Lifetime;15:40:33.980:294:720:;0024157;
Lifetime;15:40:33.988:821:888:;0026213;
Lifetime;15:40:35.051:373:796:;0038227;
Lifetime;15:40:37.296:989:056:;0000435;
Lifetime;15:40:38.916:045:184:;0000124;
Lifetime;15:40:45.373:483:232:;0028207;
Lifetime;15:40:45.748:753:216:;0045518;
Lifetime;15:40:45.849:254:912:;0039913;
Lifetime;15:40:50.565:889:856:;0000871;
Lifetime;15:40:50.807:277:696:;0003175;
Lifetime;15:40:53.452:949:600:;0046573;
Lifetime;15:40:54.241:792:048:;0000124;
Lifetime;15:40:55.640:717:056:;0000124;
Lifetime;15:40:56.007:257:218:;0032306;
Lifetime;15:40:56.228:938:784:;0002054;
Lifetime;15:40:59.140:844:912:;0032365;
Lifetime;15:41:04.573:278:336:;0000435;
Lifetime;15:41:04.757:638:976:;0004295;
Lifetime;15:41:08.883:567:104:;0004980;
Lifetime;15:41:11.212:661:120:;0000124;
Lifetime;15:41:11.678:881:984:;0036172;
Lifetime;15:41:13.620:933:440:;0000435;
Lifetime;15:41:14.542:439:680:;0030701;
Lifetime;15:41:14.930:878:528:;0007846;
Lifetime;15:41:15.342:241:056:;0000124;
Lifetime;15:41:16.882:919:296:;0004047;
Lifetime;15:41:18.360:519:488:;0013822;
Lifetime;15:41:18.796:977:792:;0002303;
Lifetime;15:41:20.766:587:136:;0005727;
Lifetime;15:41:23.643:678:528:;0001805;
Lifetime;15:41:27.053:944:716:;0002303;
Lifetime;15:41:31.844:462:464:;0005976;
Lifetime;15:41:33.003:768:938:;0000249;
Lifetime;15:41:34.762:797:504:;0009963;
Lifetime;15:41:35.182:653:936:;0001556;
Lifetime;15:41:37.805:828:736:;0021232;
Lifetime;15:41:38.060:884:380:;0000124;
Lifetime;15:41:39.468:262:624:;0047939;
Lifetime;15:41:43.799:890:816:;0001120;
Lifetime;15:41:43.942:306:944:;0000435;
Lifetime;15:41:44.651:528:896:;0001369;
Lifetime;15:41:46.340:253:952:;0003549;
Lifetime;15:41:47.688:648:320:;0037675;
Lifetime;15:41:48.368:913:152:;0000124;
Lifetime;15:41:49.626:992:000:;0002428;
Lifetime;15:41:55.505:730:400:;0000933;
Lifetime;15:41:57.422:756:480:;0004981;
Lifetime;15:41:59.679:384:896:;0000809;
Lifetime;15:42:03.612:866:304:;0003611;
Lifetime;15:42:04.292:843:968:;0000996;
Lifetime;15:42:08.095:752:576:;0027525;
Lifetime;15:42:14.521:296:928:;0005853;
Lifetime;15:42:16.649:863:488:;0001930;
Lifetime;15:42:17.919:695:040:;0000124;
Lifetime;15:42:18.594:988:288:;0015563;
Lifetime;15:42:18.817:635:264:;0000684;
Lifetime;15:42:20.200:303:776:;0032189;
Lifetime;15:42:23.831:456:192:;0000747;
Lifetime;15:42:24.761:857:472:;0000124;
Lifetime;15:42:27.548:860:224:;0032822;
Lifetime;15:42:27.944:507:840:;0048579;
Lifetime;15:42:29.921:536:896:;0020053;
Lifetime;15:42:33.925:638:336:;0049257;
Lifetime;15:42:37.074:059:240:;0010771;
Lifetime;15:42:38.382:378:144:;0010896;
Lifetime;15:42:38.813:765:696:;0021980;
Lifetime;15:42:39.002:888:954:;0000311;
Lifetime;15:42:40.195:573:104:;0011333;
Lifetime;15:42:44.147:811:584:;0026090;
Lifetime;15:42:49.124:497:688:;0000871;
Lifetime;15:42:50.994:360:768:;0006163;
Lifetime;15:42:57.414:563:936:;0020115;
Lifetime;15:43:02.723:788:800:;0004234;
Lifetime;15:43:05.426:395:648:;0035989;
Lifetime;15:43:07.627:353:024:;0027839;
Lifetime;15:43:07.915:326:656:;0000124;
Lifetime;15:43:10.528:759:008:;0023724;
Lifetime;15:43:13.237:816:912:;0000809;
Lifetime;15:43:13.459:071:200:;0010647;
Lifetime;15:43:15.719:034:560:;0018057;
Lifetime;15:43:19.780:084:288:;0035866;
Lifetime;15:43:21.219:026:416:;0001805;
Lifetime;15:43:22.597:314:560:;0000124;
Lifetime;15:43:30.182:873:920:;0004732;
Lifetime;15:43:31.931:128:576:;0046322;
Lifetime;15:43:36.720:906:880:;0001245;
Lifetime;15:43:38.022:259:224:;0041104;
Lifetime;15:43:39.598:903:936:;0004047;
Lifetime;15:43:40.806:999:488:;0042843;
Lifetime;15:43:41.479:356:416:;0037485;
Lifetime;15:43:42.586:553:152:;0000685;
Lifetime;15:43:45.498:246:112:;0048574;
Lifetime;15:43:54.816:227:840:;0018556;
Lifetime;15:43:55.053:888:060:;0028270;
Lifetime;15:43:55.536:197:472:;0006351;
Lifetime;15:44:04.304:705:984:;0036983;
Lifetime;15:44:08.490:715:456:;0029765;
Lifetime;15:44:14.984:354:048:;0025027;
Lifetime;15:44:15.419:016:128:;0001307;
Lifetime;15:44:19.841:903:552:;0019550;
Lifetime;15:44:20.915:079:424:;0040536;
Lifetime;15:44:24.562:563:264:;0003050;
Lifetime;15:44:25.462:755:328:;0046262;
Lifetime;15:44:29.425:285:632:;0001120;
Lifetime;15:44:29.551:447:616:;0042834;
Lifetime;15:44:29.653:941:696:;0029075;
Lifetime;15:44:35.595:541:056:;0000124;
