Waiting for GPS Fix
GPS Fix obtained at;16:16:57.000:000:000:;Date:25/1/2022;
Lifetime;16:16:59.975:509:056:;0006661;
Lifetime;16:17:10.929:987:456:;0008591;
Lifetime;16:17:12.820:020:160:;0044019;
Lifetime;16:17:13.166:392:800:;0047376;
Lifetime;16:17:15.177:763:968:;0014006;
Lifetime;16:17:21.366:532:704:;0020042;
Lifetime;16:17:24.629:990:336:;0017365;
Lifetime;16:17:27.523:237:600:;0024534;
Lifetime;16:17:32.754:327:744:;0042210;
Lifetime;16:17:33.984:176:128:;0028829;
Lifetime;16:17:47.125:231:176:;0020051;
Lifetime;16:17:48.852:156:160:;0012639;
Lifetime;16:17:56.028:410:374:;0021790;
Lifetime;16:18:07.812:993:024:;0020484;
Lifetime;16:18:10.211:027:728:;0049739;
Lifetime;16:18:33.117:170:168:;0048998;
Lifetime;16:18:33.708:024:768:;0006288;
Lifetime;16:18:33.787:352:064:;0016561;
Lifetime;16:18:39.632:432:768:;0019802;
Lifetime;16:18:43.775:291:136:;0043522;
Lifetime;16:18:48.840:023:360:;0003984;
Lifetime;16:18:56.145:726:512:;0007284;
Lifetime;16:18:57.916:758:144:;0005229;
Lifetime;16:19:11.904:789:696:;0005789;
Lifetime;16:19:17.488:952:896:;0005353;
Lifetime;16:19:19.246:677:424:;0015564;
Lifetime;16:19:19.966:460:480:;0044887;
Lifetime;16:19:22.048:435:648:;0004047;
Lifetime;16:19:23.065:921:736:;0043709;
Lifetime;16:19:23.687:560:768:;0048752;
Lifetime;16:19:48.467:474:656:;0030877;
Lifetime;16:19:50.768:647:680:;0027330;
Lifetime;16:19:55.853:201:344:;0037601;
Lifetime;16:19:58.064:193:180:;0019484;
Lifetime;16:19:59.079:353:616:;0009151;
Lifetime;16:20:00.592:084:992:;0044264;
Lifetime;16:20:02.879:222:848:;0009273;
Lifetime;16:20:10.082:072:848:;0024592;
Lifetime;16:20:18.204:901:680:;0009152;
Lifetime;16:20:21.458:628:736:;0008031;
Lifetime;16:20:27.705:901:120:;0024284;
Lifetime;16:20:37.220:077:200:;0011828;
Lifetime;16:20:39.232:970:752:;0015937;
Lifetime;16:20:49.483:085:888:;0023845;
Lifetime;16:20:54.324:413:888:;0003424;
Lifetime;16:20:54.473:470:336:;0007595;
Lifetime;16:21:01.785:938:432:;0007160;
Lifetime;16:21:06.104:357:288:;0042023;
Lifetime;16:21:17.118:538:648:;0013759;
Lifetime;16:21:33.879:082:560:;0026642;
Lifetime;16:21:40.677:252:416:;0016680;
Lifetime;16:21:43.770:466:176:;0009213;
Lifetime;16:21:48.272:305:696:;0030502;
Lifetime;16:21:50.849:093:440:;0044259;
Lifetime;16:21:52.795:209:472:;0049241;
Lifetime;16:22:23.273:606:528:;0039288;
Lifetime;16:22:28.806:749:120:;0040967;
Lifetime;16:22:31.650:172:352:;0044011;
Lifetime;16:22:41.397:113:248:;0016621;
Lifetime;16:22:48.142:437:616:;0007221;
Lifetime;16:22:52.883:871:616:;0034749;
Lifetime;16:22:53.473:740:192:;0005542;
Lifetime;16:22:56.849:584:832:;0047885;
Lifetime;16:22:56.948:568:448:;0037050;
Lifetime;16:23:02.540:777:920:;0045254;
Lifetime;16:23:03.273:842:496:;0046060;
Lifetime;16:23:10.200:516:336:;0044269;
Lifetime;16:23:11.066:449:080:;0046753;
Lifetime;16:23:12.253:506:400:;0009152;
Lifetime;16:23:24.245:116:016:;0014010;
Lifetime;16:23:24.578:125:888:;0032754;
Lifetime;16:23:27.554:677:312:;0039099;
Lifetime;16:23:29.781:037:568:;0005728;
Lifetime;16:23:33.518:976:704:;0030195;
Lifetime;16:23:43.048:494:948:;0035793;
Lifetime;16:23:46.267:654:368:;0038283;
Lifetime;16:23:48.223:825:056:;0008278;
Lifetime;16:23:49.172:811:168:;0011576;
Lifetime;16:23:57.300:443:584:;0013447;
Lifetime;16:24:02.545:934:592:;0013574;
Lifetime;16:24:06.099:012:528:;0014693;
Lifetime;16:24:06.580:860:032:;0023410;
Lifetime;16:24:18.628:407:552:;0030940;
Lifetime;16:24:21.379:773:888:;0004607;
Lifetime;16:24:24.204:922:000:;0016436;
Lifetime;16:24:26.389:804:992:;0029571;
Lifetime;16:24:26.655:285:504:;0007470;
Lifetime;16:24:33.219:095:200:;0023785;
Lifetime;16:24:33.249:527:136:;0041345;
Lifetime;16:24:35.104:044:392:;0009090;
Lifetime;16:24:36.248:923:168:;0004482;
Lifetime;16:24:38.521:913:760:;0021232;
Lifetime;16:24:40.746:590:016:;0042461;
Lifetime;16:24:42.432:136:096:;0031874;
Lifetime;16:24:56.828:401:664:;0019238;
Lifetime;16:24:57.071:949:400:;0048061;
Lifetime;16:24:59.540:439:808:;0034926;
Lifetime;16:25:00.081:769:696:;0022221;
Lifetime;16:25:11.394:272:256:;0018860;
Stopping logging session;16:25:11.284:826:944:;Date:25/1/20
