Waiting for GPS Fix
GPS Fix obtained at;11:51:07.000:000:000:;Date:25/1/2022;
Lifetime;11:51:00.002:063:937:;0159564;
Lifetime;11:51:09.009:485:371:;0100077;
Lifetime;11:51:09.619:272:256:;0849101;
Lifetime;11:51:10.496:054:880:;0111561;
Lifetime;11:51:10.610:410:240:;1480957;
Lifetime;11:51:10.668:220:736:;1126268;
Lifetime;11:51:11.127:537:928:;2402609;
Lifetime;11:51:11.226:988:976:;0466537;
Lifetime;11:51:13.218:396:080:;1518465;
Lifetime;11:51:13.546:559:552:;0184496;
Lifetime;11:51:13.781:692:672:;0224249;
Lifetime;11:51:14.048:435:496:;0448932;
Lifetime;11:51:14.446:068:192:;2171752;
Lifetime;11:51:14.997:505:216:;1449060;
Lifetime;11:51:15.238:538:736:;1566707;
Lifetime;11:51:15.319:769:888:;1696518;
Lifetime;11:51:16.657:575:424:;3330341;
Lifetime;11:51:16.923:123:904:;0337932;
Lifetime;11:51:17.831:423:040:;0551659;
Lifetime;11:51:18.651:172:416:;0986788;
Lifetime;11:51:19.810:943:232:;0885461;
Lifetime;11:51:21.798:067:008:;2117388;
Lifetime;11:51:21.976:606:784:;0567839;
Lifetime;11:51:23.999:120:128:;0295069;
Lifetime;11:51:24.165:448:368:;1280480;
Lifetime;11:51:24.610:586:880:;1166877;
Lifetime;11:51:25.389:143:232:;2597790;
Lifetime;11:51:26.126:938:968:;0704813;
Lifetime;11:51:27.474:703:520:;2013433;
Lifetime;11:51:28.510:789:792:;1385765;
Lifetime;11:51:28.622:925:376:;0268680;
Lifetime;11:51:29.131:808:568:;2183661;
Lifetime;11:51:30.743:232:512:;3059402;
Lifetime;11:51:33.874:791:296:;2018269;
Lifetime;11:51:33.896:530:240:;1652087;
Lifetime;11:51:34.069:571:672:;1746822;
Lifetime;11:51:34.570:181:248:;0157182;
Lifetime;11:51:35.739:308:416:;0581341;
Lifetime;11:51:37.178:777:152:;0125733;
Lifetime;11:51:39.904:951:360:;1294596;
Lifetime;11:51:40.314:719:744:;2011154;
Lifetime;11:51:42.495:946:464:;0838809;
Lifetime;11:51:42.855:627:584:;0358457;
Lifetime;11:51:45.264:301:088:;0562053;
Lifetime;11:51:47.299:073:248:;3016488;
Lifetime;11:51:47.568:695:552:;0168205;
Lifetime;11:51:50.099:057:368:;1967380;
Lifetime;11:51:50.486:916:192:;0388203;
Lifetime;11:51:51.290:826:464:;1428612;
Lifetime;11:51:52.202:597:536:;0867179;
Lifetime;11:51:52.306:675:232:;3072024;
Lifetime;11:51:52.649:951:488:;0714360;
Lifetime;11:51:53.643:634:752:;1045540;
Lifetime;11:51:53.887:270:336:;0113671;
Lifetime;11:51:55.100:026:832:;1042947;
Lifetime;11:51:55.229:719:648:;2787177;
Lifetime;11:51:55.626:924:288:;0915306;
Lifetime;11:51:55.917:535:488:;1247623;
Lifetime;11:51:56.304:181:728:;1288411;
Lifetime;11:51:57.564:842:752:;0478002;
Lifetime;11:51:58.615:115:392:;0283693;
Lifetime;11:52:01.287:471:552:;1151132;
Lifetime;11:52:03.279:420:096:;1680289;
Lifetime;11:52:04.933:094:720:;0100804;
Lifetime;11:52:05.729:507:072:;0101490;
Lifetime;11:52:05.745:336:576:;1425230;
Lifetime;11:52:06.969:604:224:;0925180;
Lifetime;11:52:07.171:916:016:;3547602;
Lifetime;11:52:07.641:796:160:;0454563;
Lifetime;11:52:08.343:923:456:;2921542;
Lifetime;11:52:09.026:908:418:;0184182;
Lifetime;11:52:10.235:673:808:;0298930;
Lifetime;11:52:10.576:122:048:;1147623;
Lifetime;11:52:11.495:347:616:;2200596;
Lifetime;11:52:13.450:496:768:;1177320;
Lifetime;11:52:14.684:544:320:;0203290;
Lifetime;11:52:15.372:253:408:;3048749;
Lifetime;11:52:15.725:765:120:;0446474;
Lifetime;11:52:16.205:487:088:;1534316;
Lifetime;11:52:16.337:447:680:;0865171;
Lifetime;11:52:19.794:699:968:;1080285;
Lifetime;11:52:20.502:926:784:;1730175;
Lifetime;11:52:20.980:247:360:;1299890;
Lifetime;11:52:21.615:385:600:;0683785;
Lifetime;11:52:23.103:758:096:;1662446;
Lifetime;11:52:23.131:659:696:;1090828;
Lifetime;11:52:24.863:322:560:;2261518;
Lifetime;11:52:25.863:245:120:;1980487;
Lifetime;11:52:26.855:551:552:;1515218;
Lifetime;11:52:27.376:125:088:;1495186;
Lifetime;11:52:28.755:697:408:;0486850;
Lifetime;11:52:29.408:597:344:;2423958;
Lifetime;11:52:29.557:802:944:;0437400;
Lifetime;11:52:31.971:936:640:;1792390;
Lifetime;11:52:32.539:318:784:;0802092;
Lifetime;11:52:32.814:831:424:;0285722;
Lifetime;11:52:34.557:513:664:;1785909;
Lifetime;11:52:35.285:092:000:;0615590;
Lifetime;11:52:36.343:386:304:;1408577;
Lifetime;11:52:37.016:542:100:;2675305;
Lifetime;11:52:37.373:496:064:;0476876;
Lifetime;11:52:37.920:305:984:;0426852;
Lifetime;11:52:39.091:662:640:;2150083;
Lifetime;11:52:41.263:175:392:;0181877;
Lifetime;11:52:42.342:079:520:;0702374;
Lifetime;11:52:43.111:626:384:;1713541;
Lifetime;11:52:43.788:318:080:;3490444;
Lifetime;11:52:48.423:818:464:;0335268;
Lifetime;11:52:52.344:362:688:;0645737;
Lifetime;11:52:52.899:909:120:;1628767;
Lifetime;11:52:53.529:819:200:;0549644;
Lifetime;11:52:54.349:061:568:;1490009;
Lifetime;11:52:55.544:611:584:;1082169;
Lifetime;11:52:56.156:000:176:;0327049;
Lifetime;11:52:56.501:033:152:;0107728;
Lifetime;11:52:57.049:014:652:;2836733;
Lifetime;11:52:58.161:736:368:;1021450;
Lifetime;11:52:58.231:940:064:;0613181;
Lifetime;11:52:58.907:377:280:;1295581;
Lifetime;11:52:59.720:168:640:;2266024;
Lifetime;11:52:59.862:378:432:;1747499;
Lifetime;11:53:02.389:766:784:;0308567;
Lifetime;11:53:02.991:941:312:;0488177;
Lifetime;11:53:03.232:917:136:;0291560;
Lifetime;11:53:03.514:771:008:;3681076;
Lifetime;11:53:03.743:247:680:;0484189;
Lifetime;11:53:03.839:931:200:;0896860;
Lifetime;11:53:05.306:262:336:;1099220;
Lifetime;11:53:06.893:078:208:;0244268;
Lifetime;11:53:08.781:492:480:;0021898;
Lifetime;11:53:10.547:728:512:;0307230;
Lifetime;11:53:11.379:953:632:;2408215;
Lifetime;11:53:16.439:048:736:;0960742;
Lifetime;11:53:19.659:604:416:;0245487;
Lifetime;11:53:19.716:868:480:;0261687;
Lifetime;11:53:22.029:951:620:;2558664;
Lifetime;11:53:24.739:131:264:;0079939;
