Waiting for GPS Fix
GPS Fix obtained at;12:22:04.000:000:000:;Date:26/1/2022;
Lifetime;12:22:04.000:000:000:;0041261;
Lifetime;12:22:05.000:328:106:;0038257;
Lifetime;12:22:05.000:559:260:;0046942;
Lifetime;12:22:05.002:816:666:;0003867;
Lifetime;12:22:05.013:954:440:;0006428;
Lifetime;12:22:05.014:448:052:;0025168;
Lifetime;12:22:05.017:601:132:;0005902;
Lifetime;12:22:05.021:240:068:;0015523;
Lifetime;12:22:05.040:663:336:;0003661;
Lifetime;12:22:05.041:465:208:;0019234;
Lifetime;12:22:05.042:592:144:;0026766;
Lifetime;12:22:05.044:203:244:;0034459;
Lifetime;12:22:05.046:851:308:;0041622;
Lifetime;12:22:05.048:277:284:;0042124;
Lifetime;12:22:05.051:716:704:;0016414;
Lifetime;12:22:05.061:774:056:;0017558;
Lifetime;12:22:05.065:286:516:;0039671;
Lifetime;12:22:06.330:892:640:;0023348;
Lifetime;12:22:08.184:969:088:;0047316;
Lifetime;12:22:09.362:843:488:;0041344;
Lifetime;12:22:13.831:998:848:;0018804;
Lifetime;12:22:19.558:710:784:;0011643;
Lifetime;12:22:22.127:127:104:;0007657;
Lifetime;12:22:24.527:430:976:;0027144;
Lifetime;12:22:37.766:819:520:;0018237;
Lifetime;12:22:38.128:529:488:;0006534;
Lifetime;12:22:38.162:286:880:;0016866;
Lifetime;12:22:40.365:191:456:;0029196;
Lifetime;12:22:43.729:086:656:;0005726;
Lifetime;12:22:44.893:623:296:;0033558;
Lifetime;12:22:46.095:168:832:;0023411;
Lifetime;12:22:46.435:580:512:;0038914;
Lifetime;12:22:53.763:465:792:;0039669;
Lifetime;12:22:54.368:698:112:;0034933;
Lifetime;12:22:59.161:475:648:;0042527;
Lifetime;12:23:04.984:674:432:;0034248;
Lifetime;12:23:05.974:274:240:;0033938;
Lifetime;12:23:07.839:770:752:;0018870;
Lifetime;12:23:10.426:482:624:;0000186;
Lifetime;12:23:10.545:735:616:;0039137;
Lifetime;12:23:11.140:018:528:;0021794;
Lifetime;12:23:15.416:520:800:;0049817;
Lifetime;12:23:17.948:242:432:;0017746;
Lifetime;12:23:18.229:802:304:;0043342;
Lifetime;12:23:18.360:973:216:;0038858;
Lifetime;12:23:18.556:416:384:;0010835;
Lifetime;12:23:20.758:421:888:;0045024;
Lifetime;12:23:21.000:363:141:;0022727;
Lifetime;12:23:28.739:236:608:;0034126;
Lifetime;12:23:31.745:742:208:;0047003;
Lifetime;12:23:39.131:739:440:;0012016;
Lifetime;12:23:44.485:649:920:;0018054;
Lifetime;12:23:45.062:898:588:;0039659;
Lifetime;12:23:45.938:978:368:;0043830;
Lifetime;12:23:56.799:264:064:;0017871;
Lifetime;12:23:58.172:279:808:;0012827;
Lifetime;12:23:59.658:997:760:;0021980;
Lifetime;12:24:05.437:776:096:;0012513;
Lifetime;12:24:09.873:755:520:;0030939;
Lifetime;12:24:11.257:934:912:;0037858;
Lifetime;12:24:18.498:781:152:;0025526;
Lifetime;12:24:19.990:245:248:;0007845;
Lifetime;12:24:22.231:936:048:;0034429;
Lifetime;12:24:23.430:725:216:;0030130;
Lifetime;12:24:30.212:095:248:;0021351;
Lifetime;12:24:38.763:540:864:;0043590;
Lifetime;12:24:43.016:412:169:;0014257;
Lifetime;12:24:45.242:637:600:;0046078;
Lifetime;12:24:46.956:671:936:;0015068;
Lifetime;12:24:47.897:653:248:;0035681;
Lifetime;12:24:48.131:484:288:;0017246;
Lifetime;12:24:51.790:187:584:;0015252;
Lifetime;12:24:53.071:705:280:;0008652;
Lifetime;12:24:56.971:231:744:;0034418;
Lifetime;12:25:13.929:357:888:;0029078;
Lifetime;12:25:15.828:762:432:;0002428;
Lifetime;12:25:16.458:932:928:;0005168;
Lifetime;12:25:17.881:811:712:;0017186;
Lifetime;12:25:24.080:177:328:;0044211;
Lifetime;12:25:25.728:056:256:;0030073;
Lifetime;12:25:26.973:149:760:;0019300;
Lifetime;12:25:28.987:297:792:;0028704;
Lifetime;12:25:34.070:507:888:;0038612;
Lifetime;12:25:37.918:289:728:;0031254;
Lifetime;12:25:39.402:826:848:;0032376;
Lifetime;12:25:43.149:360:592:;0043704;
Lifetime;12:25:43.235:960:752:;0006412;
Lifetime;12:25:47.996:610:240:;0028085;
Lifetime;12:25:59.513:631:936:;0025838;
Lifetime;12:26:00.216:591:248:;0004670;
Lifetime;12:26:01.309:207:680:;0028833;
Lifetime;12:26:03.118:313:480:;0021646;
Lifetime;12:26:03.888:676:288:;0030391;
Lifetime;12:26:07.518:061:952:;0019679;
Lifetime;12:26:08.418:304:960:;0020486;
Lifetime;12:26:16.818:015:168:;0045828;
Lifetime;12:26:20.831:810:240:;0007720;
Lifetime;12:26:22.163:609:536:;0043771;
Lifetime;12:26:23.857:330:624:;0007036;
Stopping logging session;12:26:23.070:502:488:;Date:26/1/20
