Waiting for GPS Fix
GPS Fix obtained at;11:11:38.000:000:000:;Date:9/12/2021
Lifetime;022096;11:11:39.363:767:008:;
Lifetime;018058;11:11:43.529:178:176:;
Lifetime;018187;11:11:46.758:680:064:;
Lifetime;017991;11:11:47.910:871:552:;
Lifetime;083609;11:11:49.983:914:240:;
Lifetime;038565;11:11:50.154:595:280:;
Lifetime;018065;11:11:52.794:201:920:;
Lifetime;018064;11:11:54.750:580:288:;
Lifetime;018065;11:12:00.176:785:376:;
Lifetime;158042;11:12:00.278:528:672:;
Lifetime;205012;11:12:00.960:666:624:;
Lifetime;021868;11:12:15.526:952:864:;
Lifetime;018129;11:12:18.385:962:400:;
Lifetime;018128;11:12:19.968:693:632:;
Lifetime;018066;11:12:29.973:809:536:;
Lifetime;207837;11:12:31.196:822:384:;
Lifetime;018066;11:12:35.944:651:712:;
Lifetime;106344;11:12:38.967:741:312:;
Lifetime;017990;11:12:41.386:974:464:;
Lifetime;018188;11:12:43.286:510:496:;
Lifetime;246111;11:12:44.739:376:960:;
Lifetime;018066;11:12:46.068:461:856:;
Lifetime;038373;11:12:48.510:728:896:;
Lifetime;018065;11:12:48.899:295:232:;
Lifetime;188632;11:12:56.113:259:312:;
Lifetime;311889;11:12:59.023:828:406:;
Lifetime;233325;11:12:59.315:811:008:;
Lifetime;018066;11:13:04.043:154:880:;
Lifetime;041304;11:13:04.594:550:848:;
Lifetime;021866;11:13:05.515:171:232:;
Lifetime;022053;11:13:05.684:324:928:;
Lifetime;030217;11:13:11.632:378:944:;
Lifetime;018069;11:13:14.749:320:640:;
Lifetime;164976;11:13:16.090:547:272:;
Lifetime;395119;11:13:19.100:758:720:;
Lifetime;018066;11:13:22.702:124:608:;
Lifetime;018188;11:13:23.300:748:864:;
Lifetime;018068;11:13:27.144:421:136:;
Lifetime;043599;11:13:35.722:233:152:;
Lifetime;018066;11:13:38.157:677:840:;
Lifetime;209631;11:13:39.929:774:464:;
Lifetime;018115;11:13:41.193:871:952:;
Lifetime;018067;11:13:44.261:830:016:;
Lifetime;017991;11:13:48.692:216:640:;
Lifetime;018178;11:14:03.948:783:104:;
Lifetime;076435;11:14:04.123:254:176:;
Lifetime;302530;11:14:05.002:648:516:;
Lifetime;018065;11:14:09.517:780:800:;
Lifetime;018065;11:14:10.662:674:816:;
Lifetime;018136;11:14:11.364:829:088:;
Lifetime;018065;11:14:14.968:911:808:;
Lifetime;042796;11:14:22.306:595:552:;
Lifetime;379354;11:14:23.183:110:096:;
Lifetime;152051;11:14:24.293:825:728:;
Lifetime;228439;11:14:26.261:617:120:;
Lifetime;189008;11:14:27.196:791:216:;
Lifetime;018067;11:14:32.021:728:888:;
Lifetime;018064;11:14:33.503:831:168:;
Lifetime;018064;11:14:34.106:520:968:;
Lifetime;018065;11:14:36.837:044:032:;
Lifetime;018059;11:14:38.659:656:896:;
Lifetime;042536;11:14:42.025:230:056:;
Lifetime;018065;11:14:44.998:858:624:;
Lifetime;018189;11:14:45.326:841:248:;
Lifetime;019249;11:14:46.180:470:832:;
Lifetime;018065;11:14:47.682:833:856:;
Lifetime;018064;11:14:48.524:361:344:;
Lifetime;018064;11:14:48.708:746:176:;
Lifetime;021960;11:14:52.464:469:856:;
Lifetime;018048;11:14:53.021:337:830:;
Lifetime;365015;11:14:58.825:375:360:;
Lifetime;371544;11:15:05.417:173:728:;
