Waiting for GPS Fix
GPS Fix obtained at;12:26:55.000:000:000:;Date:9/12/2021
Lifetime;018181;12:26:58.725:557:824:;
Lifetime;018061;12:27:02.981:268:480:;
Lifetime;080397;12:27:03.007:879:679:;
Lifetime;050069;12:27:03.829:740:608:;
Lifetime;370848;12:27:03.887:243:584:;
Lifetime;191869;12:27:03.897:068:288:;
Lifetime;169343;12:27:09.835:291:328:;
Lifetime;018065;12:27:12.173:497:872:;
Lifetime;018126;12:27:15.179:441:664:;
Lifetime;262626;12:27:23.995:877:312:;
Lifetime;018181;12:27:28.184:433:216:;
Lifetime;084305;12:27:28.851:238:272:;
Lifetime;018058;12:27:30.680:960:896:;
Lifetime;018061;12:27:34.060:890:624:;
Lifetime;179303;12:27:34.791:084:288:;
Lifetime;084269;12:27:35.268:755:776:;
Lifetime;067014;12:27:39.677:542:784:;
Lifetime;191055;12:27:40.079:201:168:;
Lifetime;005730;12:27:42.264:455:648:;
Lifetime;379502;12:27:44.923:627:968:;
Lifetime;295676;12:27:48.220:772:144:;
Lifetime;275686;12:27:48.799:725:440:;
Lifetime;227171;12:27:49.833:233:664:;
Lifetime;071299;12:27:50.775:000:832:;
Lifetime;171519;12:27:51.964:004:288:;
Lifetime;384244;12:27:56.041:829:016:;
Lifetime;284236;12:27:59.367:348:320:;
Lifetime;021854;12:28:07.457:537:120:;
Lifetime;021916;12:28:07.530:311:392:;
Lifetime;021858;12:28:09.469:990:496:;
Lifetime;018187;12:28:10.054:913:956:;
Lifetime;040292;12:28:17.165:086:080:;
Lifetime;193842;12:28:22.942:266:240:;
Lifetime;179140;12:28:25.973:803:904:;
Lifetime;121775;12:28:28.235:488:592:;
Lifetime;017990;12:28:30.129:098:472:;
Lifetime;018249;12:28:31.233:586:496:;
Lifetime;181878;12:28:32.843:278:208:;
Lifetime;364865;12:28:33.198:897:568:;
Lifetime;364883;12:28:35.012:059:607:;
Lifetime;133172;12:28:35.214:413:984:;
Lifetime;018061;12:28:42.977:222:784:;
Lifetime;007162;12:28:43.987:907:136:;
Lifetime;018065;12:28:46.568:879:360:;
Lifetime;018062;12:28:47.641:126:976:;
Lifetime;018059;12:28:54.709:613:056:;
Lifetime;385742;12:28:56.218:028:800:;
Lifetime;018119;12:28:56.888:506:176:;
Lifetime;018119;12:28:58.180:135:088:;
Lifetime;018059;12:29:00.088:668:592:;
Lifetime;018063;12:29:03.036:755:060:;
Lifetime;136097;12:29:05.266:772:304:;
Lifetime;080614;12:29:09.944:333:760:;
Lifetime;110640;12:29:14.213:429:920:;
Lifetime;018185;12:29:19.678:030:464:;
Lifetime;242083;12:29:19.738:506:048:;
Lifetime;057675;12:29:20.843:680:384:;

Lifetime;350343;12:29:31.097:385:208:;
Lifetime;059356;12:29:31.353:718:112:;
Lifetime;341106;12:29:35.225:742:656:;
Lifetime;029523;12:29:39.761:643:328:;
Lifetime;242699;12:29:41.247:690:432:;
Lifetime;099513;12:29:42.167:912:576:;
Lifetime;156556;12:29:42.769:526:080:;
Lifetime;085112;12:29:44.538:100:800:;
Lifetime;018062;12:29:47.249:313:248:;
Lifetime;026302;12:29:50.426:248:224:;
Lifetime;017989;12:29:50.695:892:800:;
Lifetime;231519;12:29:52.105:923:416:;
Lifetime;223514;12:29:52.857:787:904:;
Lifetime;263020;12:29:56.037:160:764:;
Lifetime;018066;12:29:57.128:917:000:;
Lifetime;018067;12:29:58.645:648:192:;
Lifetime;018062;12:30:04.920:295:360:;
Lifetime;252720;12:30:09.267:636:848:;
Lifetime;083471;12:30:13.526:666:048:;
Lifetime;053322;12:30:13.865:705:728:;
Lifetime;266195;12:30:15.325:433:120:;
Lifetime;195523;12:30:20.058:870:596:;
Lifetime;018127;12:30:30.072:468:976:;
Lifetime;148359;12:30:35.230:974:480:;

Lifetime;208252;12:30:48.029:495:064:;
Lifetime;055754;12:30:48.280:328:320:;
Lifetime;246215;12:30:50.873:165:376:;
Lifetime;018261;12:30:50.969:194:112:;
Lifetime;018057;12:30:54.887:747:264:;
Lifetime;207888;12:30:55.370:979:072:;
Lifetime;167585;12:31:02.185:850:032:;
Lifetime;339581;12:31:03.176:555:696:;
Lifetime;090922;12:31:07.779:773:632:;
Lifetime;179045;12:31:08.746:021:632:;
Lifetime;018125;12:31:18.677:779:136:;
Lifetime;017992;12:31:19.615:881:408:;
Lifetime;018127;12:31:21.870:958:784:;
Lifetime;039990;12:31:26.072:740:344:;
Lifetime;342219;12:31:29.236:900:304:;
Lifetime;018063;12:31:31.734:926:976:;
Lifetime;018114;12:31:32.820:719:744:;
Lifetime;018062;12:31:35.021:539:882:;
Lifetime;018111;12:31:37.204:987:552:;
Lifetime;141913;12:31:37.249:406:672:;
Lifetime;063712;12:31:38.731:382:336:;
Lifetime;018125;12:31:40.688:172:480:;
Lifetime;017990;12:31:43.949:026:432:;
Lifetime;291202;12:31:48.251:290:560:;
Lifetime;028528;12:31:48.463:619:360:;
Lifetime;018189;12:31:50.167:028:816:;
