Waiting for GPS Fix
GPS Fix obtained at;13:59:12.000:000:000:;Date:9/12/2021
Lifetime;194802;14:04:47.266:026:336:;
Lifetime;018189;14:04:48.704:829:568:;
Lifetime;018127;14:04:57.908:694:336:;
Lifetime;277963;14:04:59.150:553:360:;
Lifetime;091994;14:05:00.211:822:832:;
Lifetime;153470;14:05:00.658:619:520:;
Lifetime;018136;14:05:00.928:325:184:;
Lifetime;018128;14:05:16.966:329:728:;
Lifetime;018063;14:05:24.749:745:920:;
Lifetime;182704;14:05:28.055:784:368:;
Lifetime;225523;14:05:33.669:566:592:;
Lifetime;018065;14:05:38.349:487:136:;
Lifetime;369227;14:05:39.148:878:224:;
Lifetime;167762;14:05:39.286:502:528:;
Lifetime;034324;14:05:39.806:314:432:;
Lifetime;018066;14:05:42.086:296:528:;
Lifetime;018189;14:05:43.254:739:728:;
Lifetime;390131;14:05:43.758:776:064:;
Lifetime;126317;14:05:46.667:764:352:;
Lifetime;365637;14:05:47.226:072:192:;
Lifetime;112308;14:05:49.865:535:616:;
Lifetime;058261;14:05:53.377:732:000:;
Lifetime;018193;14:05:56.361:050:336:;
Lifetime;103975;14:05:57.894:960:320:;
Lifetime;055071;14:05:59.642:250:816:;
Lifetime;044735;14:06:01.813:427:456:;
Lifetime;018065;14:06:02.758:546:624:;
Lifetime;198039;14:06:02.963:588:096:;
Lifetime;384541;14:06:14.342:220:032:;
Lifetime;033893;14:06:15.511:188:128:;
Lifetime;018068;14:06:15.840:653:056:;
Lifetime;135014;14:06:16.679:337:280:;
Lifetime;038939;14:06:25.634:648:768:;
Lifetime;031961;14:06:25.799:989:376:;
Lifetime;332406;14:06:26.805:133:760:;
Lifetime;143039;14:06:31.158:739:008:;
Lifetime;161791;14:06:31.211:347:264:;
Lifetime;002803;14:06:35.964:284:928:;
Lifetime;133365;14:06:36.052:353:552:;
Lifetime;021933;14:06:40.778:078:528:;
Lifetime;018194;14:06:40.968:360:768:;
Lifetime;178426;14:06:42.930:593:856:;
Lifetime;148745;14:06:44.059:561:284:;
Lifetime;018064;14:06:46.805:807:296:;
Lifetime;018126;14:06:49.591:053:888:;
Lifetime;018127;14:06:50.906:348:160:;
Lifetime;018191;14:06:54.921:040:128:;
Lifetime;018066;14:06:57.366:976:416:;
Lifetime;067445;14:07:07.081:624:424:;
Lifetime;108574;14:07:10.707:681:984:;
Lifetime;371132;14:07:16.136:334:768:;
Lifetime;227232;14:07:21.651:800:512:;
Lifetime;176057;14:07:22.237:084:016:;
Lifetime;223327;14:07:24.254:154:592:;
Lifetime;018065;14:07:24.569:827:264:;
Lifetime;077979;14:07:27.277:552:864:;
Lifetime;018054;14:07:30.728:432:000:;
Lifetime;123142;14:07:31.885:528:768:;
Lifetime;218863;14:07:32.783:723:456:;
Lifetime;021859;14:07:44.534:857:888:;
Lifetime;018123;14:07:45.596:499:392:;
Lifetime;018063;14:07:46.479:415:488:;
Lifetime;018064;14:07:53.701:283:776:;
Lifetime;017992;14:07:55.125:976:056:;
Lifetime;018066;14:07:57.610:631:808:;
Lifetime;021867;14:07:58.571:807:680:;
Lifetime;018063;14:08:02.771:161:408:;
Lifetime;018067;14:08:05.460:897:600:;
Lifetime;018067;14:08:05.666:380:160:;
Lifetime;018067;14:08:06.934:698:752:;
Lifetime;100621;14:08:07.837:890:304:;
Lifetime;057424;14:08:09.965:702:720:;
Lifetime;021091;14:08:12.218:465:568:;
Lifetime;253925;14:08:13.232:228:496:;
Lifetime;141754;14:08:13.309:707:648:;
Lifetime;018057;14:08:14.187:017:264:;
Lifetime;144539;14:08:21.137:814:592:;
Lifetime;269194;14:08:22.240:108:448:;
Lifetime;345095;14:08:23.325:913:664:;
Lifetime;018127;14:08:27.200:255:648:;
Lifetime;018062;14:08:29.291:195:616:;
Lifetime;018062;14:08:29.473:695:232:;
Lifetime;017992;14:08:32.239:649:216:;
Lifetime;017992;14:08:32.791:557:632:;
Lifetime;165428;14:08:37.558:536:256:;
Lifetime;018136;14:08:38.630:447:296:;
Lifetime;392706;14:08:40.803:890:176:;
Lifetime;018185;14:08:43.605:788:096:;
Lifetime;054418;14:08:44.045:920:932:;
Lifetime;018122;14:08:51.332:171:648:;
Lifetime;018063;14:08:52.558:458:816:;
Lifetime;187734;14:08:52.862:571:584:;
Lifetime;018065;14:08:55.038:365:676:;
Lifetime;026410;14:09:03.564:432:512:;
