=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.02 15:46:21 =~=~=~=~=~=~=~=~=~=~=~=
Waiting for GPS Fix
GPS Fix obtained at;14:46:22.000:000:000:;Date:2/12/2021
Coincidence;14:46:01.381:262:496:;
Coincidence;14:46:25.728:496:640:;
Coincidence;14:46:25.778:524:672:;
Coincidence;14:46:25.807:818:816:;
Coincidence;14:46:26.715:633:408:;
Coincidence;14:46:27.254:519:792:;
Coincidence;14:46:27.564:719:360:;
Coincidence;14:46:27.762:819:520:;
Coincidence;14:46:28.496:862:592:;
Coincidence;14:46:28.527:356:768:;
Coincidence;14:46:28.638:496:960:;
Coincidence;14:46:28.844:307:264:;
Coincidence;14:46:28.894:190:528:;
Coincidence;14:46:28.906:015:168:;
Coincidence;14:46:29.008:768:978:;
Coincidence;14:46:29.878:502:656:;
Coincidence;14:46:29.938:658:560:;
Coincidence;14:46:30.129:565:080:;
Coincidence;14:46:31.871:426:304:;
Coincidence;14:46:32.240:312:864:;
Coincidence;14:46:32.360:471:360:;
Coincidence;14:46:33.083:587:192:;
Coincidence;14:46:33.106:934:152:;
Coincidence;14:46:33.267:085:504:;
Coincidence;14:46:34.497:762:784:;
Coincidence;14:46:34.717:965:568:;
Coincidence;14:46:34.826:936:832:;
Coincidence;14:46:35.383:028:352:;
Coincidence;14:46:35.870:781:504:;
Coincidence;14:46:35.984:422:016:;
Coincidence;14:46:36.173:410:384:;
Coincidence;14:46:36.811:054:080:;
Coincidence;14:46:36.853:538:944:;
Coincidence;14:46:37.206:460:560:;
Coincidence;14:46:37.684:785:728:;
Coincidence;14:46:38.363:968:416:;
Coincidence;14:46:38.515:034:496:;
Coincidence;14:46:39.082:939:344:;
Coincidence;14:46:39.490:732:512:;
Coincidence;14:46:40.119:540:560:;
Coincidence;14:46:40.224:907:920:;
Coincidence;14:46:41.485:853:856:;
Coincidence;14:46:41.945:611:712:;
Coincidence;14:46:41.956:206:784:;
Coincidence;14:46:42.215:126:784:;
Coincidence;14:46:42.319:924:544:;
Coincidence;14:46:42.697:774:976:;
Coincidence;14:46:43.464:532:096:;
Coincidence;14:46:43.981:973:120:;
Coincidence;14:46:44.212:880:816:;
Coincidence;14:46:44.345:008:544:;
Coincidence;14:46:44.705:228:608:;
Coincidence;14:46:44.887:377:792:;
Coincidence;14:46:44.984:842:176:;
Coincidence;14:46:45.375:448:032:;
Coincidence;14:46:45.634:132:928:;
Coincidence;14:46:46.083:456:168:;
Coincidence;14:46:46.288:102:848:;
Coincidence;14:46:46.325:961:376:;
Coincidence;14:46:47.108:343:120:;
Coincidence;14:46:48.567:692:992:;
Coincidence;14:46:49.315:307:584:;
Coincidence;14:46:49.945:105:984:;
Coincidence;14:46:51.149:757:264:;
Coincidence;14:46:52.475:964:160:;
Coincidence;14:46:53.090:907:680:;
Coincidence;14:46:53.509:988:160:;
Coincidence;14:46:53.529:029:376:;
Coincidence;14:46:53.695:591:296:;
Coincidence;14:46:53.943:093:248:;
Coincidence;14:46:54.741:063:168:;
Coincidence;14:46:54.956:614:976:;
Coincidence;14:46:55.006:230:114:;
Coincidence;14:46:55.230:100:304:;
Coincidence;14:46:55.411:737:792:;
Coincidence;14:46:55.438:384:160:;
Coincidence;14:46:55.549:106:112:;
Coincidence;14:46:55.718:764:416:;
Coincidence;14:46:55.948:365:248:;
Coincidence;14:46:56.464:131:520:;
Coincidence;14:46:56.568:261:184:;
Coincidence;14:46:56.892:264:640:;
Coincidence;14:46:57.667:380:160:;
Coincidence;14:46:58.072:919:320:;
Coincidence;14:46:58.271:426:912:;
Coincidence;14:46:59.163:447:872:;
Coincidence;14:46:59.859:785:472:;
Coincidence;14:47:00.033:936:112:;
Coincidence;14:47:00.228:421:520:;
Coincidence;14:47:01.581:142:720:;
Coincidence;14:47:01.750:624:768:;
Coincidence;14:47:02.557:158:720:;
Coincidence;14:47:03.816:569:280:;
Coincidence;14:47:03.896:145:920:;
Coincidence;14:47:04.086:312:736:;
Coincidence;14:47:04.196:448:176:;
Coincidence;14:47:05.012:550:495:;
Coincidence;14:47:05.113:124:184:;
Coincidence;14:47:05.196:707:680:;
Coincidence;14:47:05.382:099:712:;
Coincidence;14:47:05.524:257:632:;
Coincidence;14:47:05.632:639:104:;
Coincidence;14:47:06.478:771:872:;
Coincidence;14:47:06.981:736:832:;
Coincidence;14:47:07.497:771:808:;
Coincidence;14:47:07.862:660:992:;
Coincidence;14:47:08.333:542:048:;
Coincidence;14:47:08.484:621:440:;
Coincidence;14:47:08.535:057:248:;
Coincidence;14:47:08.881:899:584:;
Coincidence;14:47:09.226:149:360:;
Coincidence;14:47:09.228:106:976:;
Coincidence;14:47:09.905:444:160:;
Coincidence;14:47:09.968:032:960:;
Coincidence;14:47:10.011:734:681:;
Coincidence;14:47:10.412:181:216:;
Coincidence;14:47:10.482:360:160:;
Coincidence;14:47:10.810:524:800:;
Coincidence;14:47:10.970:594:048:;
Coincidence;14:47:11.417:808:064:;
Coincidence;14:47:11.542:591:744:;
Coincidence;14:47:11.993:799:232:;
Coincidence;14:47:12.386:948:352:;
Coincidence;14:47:12.589:189:824:;
Coincidence;14:47:13.257:865:440:;
Coincidence;14:47:13.713:634:112:;
Coincidence;14:47:14.992:423:296:;
Coincidence;14:47:15.158:479:504:;
Coincidence;14:47:15.167:129:312:;
Coincidence;14:47:16.420:052:640:;
Coincidence;14:47:16.948:694:464:;
Coincidence;14:47:17.335:722:016:;
Coincidence;14:47:17.748:327:040:;
Coincidence;14:47:19.109:273:408:;
Coincidence;14:47:19.255:044:880:;
Coincidence;14:47:20.137:592:432:;
Coincidence;14:47:20.205:763:424:;
Coincidence;14:47:21.513:027:008:;
Coincidence;14:47:21.861:332:416:;
Coincidence;14:47:21.931:528:512:;
Coincidence;14:47:22.385:294:368:;
Coincidence;14:47:24.634:441:856:;
