=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.02 16:03:09 =~=~=~=~=~=~=~=~=~=~=~=
Waiting for GPS Fix
GPS Fix obtained at;15:03:09.000:000:000:;Date:2/12/2021
Coincidence;15:04:14.962:934:016:;
Coincidence;15:04:17.013:997:168:;
Coincidence;15:04:17.698:556:416:;
Coincidence;15:04:18.265:397:056:;
Coincidence;15:04:18.471:493:440:;
Coincidence;15:04:18.694:454:848:;
Coincidence;15:04:18.713:350:208:;
Coincidence;15:04:18.755:199:616:;
Coincidence;15:04:19.156:139:312:;
Coincidence;15:04:19.304:141:760:;
Coincidence;15:04:19.969:945:792:;
Coincidence;15:04:20.062:090:072:;
Coincidence;15:04:20.444:475:328:;
Coincidence;15:04:20.934:801:600:;
Coincidence;15:04:20.993:638:464:;
Coincidence;15:04:21.878:303:552:;
Coincidence;15:04:22.309:260:576:;
Coincidence;15:04:22.519:810:528:;
Coincidence;15:04:22.596:773:952:;
Coincidence;15:04:22.697:316:224:;
Coincidence;15:04:22.810:901:760:;
Coincidence;15:04:23.058:881:232:;
Coincidence;15:04:23.182:000:640:;
Coincidence;15:04:25.008:215:019:;
Coincidence;15:04:25.578:450:048:;
Coincidence;15:04:25.896:746:496:;
Coincidence;15:04:26.466:519:008:;
Coincidence;15:04:26.913:863:488:;
Coincidence;15:04:27.913:264:256:;
Coincidence;15:04:27.939:694:400:;
Coincidence;15:04:27.999:763:264:;
Coincidence;15:04:28.222:897:504:;
Coincidence;15:04:28.673:192:000:;
Coincidence;15:04:28.722:122:624:;
Coincidence;15:04:29.151:342:528:;
Coincidence;15:04:29.160:831:952:;
Coincidence;15:04:29.889:056:448:;
Coincidence;15:04:31.370:832:576:;
Coincidence;15:04:32.057:629:064:;
Coincidence;15:04:32.718:943:360:;
Coincidence;15:04:33.225:457:520:;
Coincidence;15:04:33.346:445:728:;
Coincidence;15:04:33.665:038:144:;
Coincidence;15:04:33.798:609:408:;
Coincidence;15:04:34.694:934:912:;
Coincidence;15:04:34.825:348:032:;
Coincidence;15:04:36.102:694:368:;
Coincidence;15:04:36.165:157:824:;
Coincidence;15:04:37.021:807:098:;
Coincidence;15:04:37.195:473:872:;
Coincidence;15:04:37.295:768:992:;
Coincidence;15:04:37.356:080:608:;
Coincidence;15:04:37.945:539:968:;
Coincidence;15:04:38.077:100:024:;
Coincidence;15:04:38.503:181:632:;
Coincidence;15:04:38.746:836:672:;
Coincidence;15:04:38.961:985:280:;
Coincidence;15:04:39.395:831:072:;
Coincidence;15:04:39.726:800:640:;
Coincidence;15:04:39.839:506:496:;
Coincidence;15:04:41.472:467:328:;
Coincidence;15:04:41.800:207:488:;
Coincidence;15:04:42.401:499:904:;
Coincidence;15:04:43.691:309:056:;
Coincidence;15:04:43.941:307:392:;
Coincidence;15:04:44.172:661:312:;
Coincidence;15:04:44.270:273:504:;
Coincidence;15:04:45.531:605:376:;
Coincidence;15:04:46.120:175:704:;
Coincidence;15:04:46.781:577:152:;
Coincidence;15:04:46.827:225:216:;
Coincidence;15:04:47.474:934:208:;
Coincidence;15:04:48.058:750:772:;
Coincidence;15:04:48.407:614:464:;
Coincidence;15:04:49.351:702:048:;
Coincidence;15:04:49.546:232:768:;
Coincidence;15:04:49.651:509:376:;
Coincidence;15:04:49.784:247:808:;
Coincidence;15:04:50.782:887:104:;
Coincidence;15:04:51.506:327:008:;
Coincidence;15:04:52.220:238:048:;
Coincidence;15:04:52.553:578:880:;
Coincidence;15:04:52.665:002:176:;
Coincidence;15:04:53.074:193:456:;
Coincidence;15:04:53.556:505:216:;
Coincidence;15:04:53.583:953:408:;
Coincidence;15:04:54.258:207:088:;
Coincidence;15:04:54.525:442:720:;
Coincidence;15:04:54.560:184:000:;
Coincidence;15:04:54.884:440:960:;
Coincidence;15:04:54.957:026:752:;
Coincidence;15:04:55.017:747:276:;
Coincidence;15:04:57.358:633:184:;
Coincidence;15:04:57.386:716:896:;
Coincidence;15:04:58.128:515:960:;
Coincidence;15:04:58.236:462:224:;
Coincidence;15:04:59.038:014:540:;
Coincidence;15:04:59.212:995:760:;
Coincidence;15:05:00.206:881:312:;
Coincidence;15:05:00.471:422:976:;
Coincidence;15:05:00.500:013:664:;
Coincidence;15:05:01.420:816:224:;
Coincidence;15:05:04.011:186:206:;
Coincidence;15:05:04.045:487:852:;
Coincidence;15:05:04.659:019:072:;
Coincidence;15:05:05.508:326:496:;
Coincidence;15:05:06.612:864:192:;
Coincidence;15:05:07.317:958:336:;
Coincidence;15:05:07.358:696:288:;
Coincidence;15:05:07.392:121:152:;
Coincidence;15:05:07.409:086:048:;
Coincidence;15:05:07.437:571:904:;
Coincidence;15:05:07.982:494:656:;
Coincidence;15:05:09.288:858:880:;
Coincidence;15:05:09.909:666:176:;
Coincidence;15:05:11.078:656:944:;
Coincidence;15:05:11.651:355:584:;
Coincidence;15:05:11.795:712:640:;
Coincidence;15:05:11.807:437:440:;
Coincidence;15:05:11.886:385:472:;
Coincidence;15:05:12.089:006:536:;
Coincidence;15:05:12.397:509:088:;
Coincidence;15:05:12.425:749:792:;
